annee,delegation,bois_m3,liege_quintal,les_plants_forestiers_mille_plants,huile_de_romarin_ha,graines_de_pin_d_alep_tonne_zgougou,production_fourragere_million_unites_fourrageres,chasse_terrestre_tonne,region_id,matched_region_ar,matched_region_fr
2024,باجة الشمالية,NA,-,NA,-,NA,-,1.1,NA,NA,NA
2024,باجة الجنوبية,NA,-,156.24,-,NA,0.5,3.2,NA,NA,NA
2024,مجاز الباب,3,-,-,NA,40,0.5,0.9,49,مجاز الباب,mjaz albab
2024,قبلاط,NA,-,-,0,NA,1.5,0.2,790,قبلاط,qblat
2024,تستور,938,-,-,0,155,-,2.7,429,تستور,tstour
2024,تبرسق,77,-,94.5,-,75.099999999999994,-,1.8,204,تبرسق,tbrsq
2024,تيبار,NA,-,-,-,30.7,-,0.9,725,تيبار,tibar
2024,عمدون,0,0,-,-,10,-,0.3,824,عمدون,amdoun
2024,نفزة,2562.14,2384.9,374.2,-,32.5,4,7.6,408,نفزة,nfza
2024,كامل الولاية,3580.14,2384.9,624.94000000000005,0,343.3,6.5,18.700000000000003,NA,NA,NA
2025,باجة الشمالية,13.5,-,74.146600000000007,-,-,-,1.3,NA,NA,NA
2025,باجة الجنوبية,10.35,-,-,-,65,0.5,4.1,NA,NA,NA
2025,مجاز الباب,57.05,-,8.51,-,20,0.5,0.3,49,مجاز الباب,mjaz albab
2025,قبلاط,-,-,-,-,-,1.5,0.2,790,قبلاط,qblat
2025,تستور,23.5,-,-,-,10,-,2.5,429,تستور,tstour
2025,تبرسق,394,-,47.85,-,1,-,2.1,204,تبرسق,tbrsq
2025,تيبار,2371.5,-,-,-,0.4,-,1.2,725,تيبار,tibar
2025,عمدون,-,0,-,-,-,-,0.4,824,عمدون,amdoun
2025,نفزة,30090.203000000001,2339.83,315.66000000000003,-,86.5,4,7.8,408,نفزة,nfza
2025,كامل الولاية,32960.103000000003,2339.83,446.16660000000002,0,182.9,6.5,19.9,NA,NA,NA
