annee,gouvernorat,superficie_ha,nombre,region_id,matched_region_ar,matched_region_fr
2002,تونس,0.28,5,1,تونس,tunis
2002,أريانة,0.5493,7,21,أريانة,ariana
2002,بن عروس,1000,1,19,بن عروس,ben arous
2002,منوبة,1.51,3,774,منوبة,mnouba
2002,نابل,12.92,25,11,نابل,nabeul
2002,زغوان,2.43,1,318,زغوان,zghouan
2002,بنزرات,1.25,1,15,بنزرت,bizerte
2002,باجة,3.52,6,28,باجة,baja
2002,جندوبة,33.72,33,37,جندوبة,jndouba
2002,الكاف,1.32,5,36,الكاف,alkaf
2002,سليانة,3.455,11,770,سليانة,sliana
2002,القصرين,6.16,12,18,القصرين,kasserine
2002,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2002,القيروان,2.5,1,13,القيروان,kairouan
2002,قفصة,0.15,1,16,قفصة,gafsa
2002,سوسة,0,0,12,سوسة,sousse
2002,صفاقس,0,0,10,صفاقس,sfax
2002,المهدية,0,0,35,المهدية,almhdia
2002,المنستير,0,0,20,المنستير,monastir
2002,قابس,2,1,14,قابس,gabès
2002,توزر,0,0,45,توزر,touzr
2002,تطاوين,0,0,5,تطاوين,tataouine
2002,مدنين,0,0,26,مدنين,mdnin
2002,قبلي,0,0,46,قبلي,qbli
2003,تونس,8.887,11,1,تونس,tunis
2003,أريانة,2.523,15,21,أريانة,ariana
2003,بن عروس,11.471,30,19,بن عروس,ben arous
2003,منوبة,15.251,5,774,منوبة,mnouba
2003,نابل,130.513,17,11,نابل,nabeul
2003,زغوان,30.39,20,318,زغوان,zghouan
2003,بنزرات,55.11,5,15,بنزرت,bizerte
2003,باجة,19.752,7,28,باجة,baja
2003,جندوبة,75.868,52,37,جندوبة,jndouba
2003,الكاف,0.35,3,36,الكاف,alkaf
2003,سليانة,9.81,16,770,سليانة,sliana
2003,القصرين,1.46,10,18,القصرين,kasserine
2003,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2003,القيروان,0.41,3,13,القيروان,kairouan
2003,قفصة,0.57,3,16,قفصة,gafsa
2003,سوسة,3,1,12,سوسة,sousse
2003,صفاقس,0,0,10,صفاقس,sfax
2003,المهدية,0,0,35,المهدية,almhdia
2003,المنستير,0,0,20,المنستير,monastir
2003,قابس,0,0,14,قابس,gabès
2003,توزر,0,0,45,توزر,touzr
2003,تطاوين,0,0,5,تطاوين,tataouine
2003,مدنين,0,0,26,مدنين,mdnin
2003,قبلي,0,0,46,قبلي,qbli
2004,تونس,1.015,2,1,تونس,tunis
2004,أريانة,8.893,3,21,أريانة,ariana
2004,بن عروس,2.96,16,19,بن عروس,ben arous
2004,منوبة,1.02,2,774,منوبة,mnouba
2004,نابل,8.871,15,11,نابل,nabeul
2004,زغوان,16.389,20,318,زغوان,zghouan
2004,بنزرات,3.5,4,15,بنزرت,bizerte
2004,باجة,8.823,9,28,باجة,baja
2004,جندوبة,12.289,39,37,جندوبة,jndouba
2004,الكاف,15.65,7,36,الكاف,alkaf
2004,سليانة,29.534,26,770,سليانة,sliana
2004,القصرين,0,0,18,القصرين,kasserine
2004,سيدي بوزيد,3,1,167,سيدي بوزيد,sidi bouzid
2004,القيروان,0.48,1,13,القيروان,kairouan
2004,قفصة,1.685,3,16,قفصة,gafsa
2004,سوسة,1,2,12,سوسة,sousse
2004,صفاقس,0,0,10,صفاقس,sfax
2004,المهدية,5,1,35,المهدية,almhdia
2004,المنستير,0,0,20,المنستير,monastir
2004,قابس,0,0,14,قابس,gabès
2004,توزر,0,0,45,توزر,touzr
