pepiniere,espece,qte,gouvernorat,latitude,longitude,region_id,matched_region_ar,matched_region_fr
منبت  قمرت,الصنوبر الحلبي,21103,تونس,36.9173042,10.2852531999999,1,تونس,tunis
منبت  قمرت,الكلتوس,1200,تونس,36.9173043,10.2852531999999,1,تونس,tunis
منبت  قمرت,أكاسيا سيينوفيلا,9865,تونس,36.9173044,10.2852531999999,1,تونس,tunis
منبت  قمرت,قطف نميلاريا,12000,تونس,36.9173045,10.2852531999999,1,تونس,tunis
منبت  قمرت,سرول,19519,تونس,36.9173046,10.2852531999999,1,تونس,tunis
منبت  قمرت,كازورينا,2000,تونس,36.9173047,10.2852531999999,1,تونس,tunis
منبت  قمرت,أكاسيا شوكية,18768,تونس,36.9173048,10.2852531999999,1,تونس,tunis
منبت  قمرت,رند,498,تونس,36.9173049,10.2852531999999,1,تونس,tunis
منبت  قمرت,زيتون,2,تونس,36.917305,10.2852531999999,1,تونس,tunis
منبت  قمرت,ابيسكيس,2345,تونس,36.9173051,10.2852531999999,1,تونس,tunis
منبت  قمرت,تكوما,14,تونس,36.9173052,10.2852531999999,1,تونس,tunis
منبت  قمرت,فيزان,200,تونس,36.9173053,10.2852531999999,1,تونس,tunis
منبت  قمرت,دفلة,8921,تونس,36.9173054,10.2852531999999,1,تونس,tunis
منبت  قمرت,فيتاكس,500,تونس,36.9173055,10.2852531999999,1,تونس,tunis
منبت  قمرت,ورد,5,تونس,36.9173056,10.2852531999999,1,تونس,tunis
منبت  قمرت,أوسترنجيا,1000,تونس,36.9173057,10.2852531999999,1,تونس,tunis
منبت  قمرت,جيستسيا,1400,تونس,36.9173058,10.2852531999999,1,تونس,tunis
منبت  قمرت,مرقريت,113,تونس,36.9173059,10.2852531999999,1,تونس,tunis
منبت  قمرت,يوكا,115,تونس,36.917306,10.2852531999999,1,تونس,tunis
منبت  قمرت,جرنيوم,600,تونس,36.9173061,10.2852531999999,1,تونس,tunis
منبت  قمرت,عطرشاء,7907,تونس,36.9173062,10.2852531999999,1,تونس,tunis
منبت  قمرت,قرنفل,48,تونس,36.9173063,10.2852531999999,1,تونس,tunis
منبت  قمرت,زعتر,2484,تونس,36.9173064,10.2852531999999,1,تونس,tunis
منبت  قمرت,قزانيا,12200,تونس,36.9173065,10.2852531999999,1,تونس,tunis
منبت  قمرت,بلامبقو,1124,تونس,36.9173066,10.2852531999999,1,تونس,tunis
منبت  قمرت,بونسيسيا,1142,تونس,36.9173067,10.2852531999999,1,تونس,tunis
منبت  قمرت,بوقنفيلي,5533,تونس,36.9173068,10.2852531999999,1,تونس,tunis
منبت  قمرت,صبار,960,تونس,36.9173069,10.2852531999999,1,تونس,tunis
منبت  قمرت,شيح,2200,تونس,36.917307,10.2852531999999,1,تونس,tunis
منبت  قمرت,ميبروم,15092,تونس,36.9173071,10.2852531999999,1,تونس,tunis
منبت  قمرت,الاكليل,690,تونس,36.9173072,10.2852531999999,1,تونس,tunis
منبت  قمرت,لنتنا,8696,تونس,36.9173073,10.2852531999999,1,تونس,tunis
منبت  قمرت,الصوجا,7416,تونس,36.9173074,10.2852531999999,1,تونس,tunis
منبت  قمرت,الخزامة,150,تونس,36.9173075,10.2852531999999,1,تونس,tunis
منبت  قمرت,شرببو,980,تونس,36.9173076,10.2852531999999,1,تونس,tunis
منبت العقبة,الصنوبر الحلبي,21600,تونس,36.7891144,10.100671,1,تونس,tunis
منبت العقبة,الصنوبر الثمري,1000,تونس,36.7891145,10.100671,1,تونس,tunis
منبت العقبة,الكلتوس,13000,تونس,36.7891146,10.100671,1,تونس,tunis
منبت العقبة,ذرو,460,تونس,36.7891147,10.100671,1,تونس,tunis
منبت العقبة,أكاسيا سيينوفيلا,33500,تونس,36.7891148,10.100671,1,تونس,tunis
منبت العقبة,اكاسيا سيكلوبيكس,2000,تونس,36.7891149,10.100671,1,تونس,tunis
منبت العقبة,قطف نميلاريا,16000,تونس,36.789115,10.100671,1,تونس,tunis
منبت العقبة,رتم,300,تونس,36.7891151,10.100671,1,تونس,tunis
منبت العقبة,سرول,71500,تونس,36.7891152,10.100671,1,تونس,tunis
منبت العقبة,كازورينا,28000,تونس,36.7891153,10.100671,1,تونس,tunis
منبت العقبة,ليسيوم,21500,تونس,36.7891154,10.100671,1,تونس,tunis
منبت العقبة,أكاسيا شوكية,11700,تونس,36.7891155,10.100671,1,تونس,tunis
منبت العقبة,خروب,1000,تونس,36.7891156,10.100671,1,تونس,tunis
منبت العقبة,كرم,50,تونس,36.7891157,10.100671,1,تونس,tunis
منبت العقبة,كبار,100,تونس,36.7891158,10.100671,1,تونس,tunis
منبت العقبة,ابيسكيس,3120,تونس,36.7891159,10.100671,1,تونس,tunis
منبت العقبة,تكوما,400,تونس,36.789116,10.100671,1,تونس,tunis
منبت العقبة,دفلة,3000,تونس,36.7891161,10.100671,1,تونس,tunis
منبت العقبة,ورد,500,تونس,36.7891162,10.100671,1,تونس,tunis
منبت العقبة,أبيتلون,1515,تونس,36.7891163,10.100671,1,تونس,tunis
منبت العقبة,جيستسيا,49,تونس,36.7891164,10.100671,1,تونس,tunis
منبت العقبة,اسبارقيس,85,تونس,36.7891165,10.100671,1,تونس,tunis
منبت العقبة,سوسي,1000,تونس,36.7891166,10.100671,1,تونس,tunis
منبت العقبة,مرقريت,1700,تونس,36.7891167,10.100671,1,تونس,tunis
منبت العقبة,يوكا,441,تونس,36.7891168,10.100671,1,تونس,tunis
منبت العقبة,قزانيا,1100,تونس,36.7891169,10.100671,1,تونس,tunis
منبت العقبة,هنديات,7569,تونس,36.789117,10.100671,1,تونس,tunis
منبت العقبة,بابريس,890,تونس,36.7891171,10.100671,1,تونس,tunis
منبت العقبة,سينترار مارتيم,1300,تونس,36.7891172,10.100671,1,تونس,tunis
منبت العقبة,كلستموم,3455,تونس,36.7891173,10.100671,1,تونس,tunis
منبت العقبة,روزداند,2000,تونس,36.7891174,10.100671,1,تونس,tunis
منبت العقبة,ست مريم,2000,تونس,36.7891175,10.100671,1,تونس,tunis
منبت العقبة,بوقنفيلي,1050,تونس,36.7891176,10.100671,1,تونس,tunis
منبت العقبة,ميبروم,15500,تونس,36.7891177,10.100671,1,تونس,tunis
منبت العقبة,ملالوكا,2225,تونس,36.7891178,10.100671,1,تونس,tunis
منبت العقبة,الاكليل,5000,تونس,36.7891179,10.100671,1,تونس,tunis
منبت العقبة,لنتنا,2650,تونس,36.789118,10.100671,1,تونس,tunis
منبت العقبة,الصوجا,1500,تونس,36.7891181,10.100671,1,تونس,tunis
منبت العقبة,الخزامة,600,تونس,36.7891182,10.100671,1,تونس,tunis
منبت العقبة,شرببو,6900,تونس,36.7891183,10.100671,1,تونس,tunis
منبت سيدي ثابت,الصنوبر الحلبي,64000,أريانة,36.9245069,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,الكلتوس,70,أريانة,36.924507,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,السنط الازرق,10900,أريانة,36.9245071,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,سرول,43000,أريانة,36.9245072,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,كازورينا,19000,أريانة,36.9245073,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,أكاسيا شوكية,6900,أريانة,36.9245074,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,خروب,464,أريانة,36.9245075,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,واشنطونيا,1200,أريانة,36.9245076,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,فيكيس كنارينسيس,30,أريانة,36.9245077,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,فيكيس نتدا,120,أريانة,36.9245078,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,ميليا,76,أريانة,36.9245079,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,تكوما,150,أريانة,36.924508,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,دفلة,100,أريانة,36.9245081,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,ورد,80,أريانة,36.9245082,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,قزانيا,400,أريانة,36.9245083,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,جيستسيا,300,أريانة,36.9245084,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,عرعار,3200,أريانة,36.9245085,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,جيرنيوم,150,أريانة,36.9245086,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,عطرشاء,1400,أريانة,36.9245087,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,تكماريا,300,أريانة,36.9245088,10.0471549,21,أريانة,ariana
منبت سيدي ثابت,بوقنفيلي,30,أريانة,36.9245089,10.0471549,21,أريانة,ariana
منبت  برج العامري,الصنوبر الحلبي,16000,منوبة,36.7118658,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,الكلتوس,30000,منوبة,36.7118659,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,السنط الازرق,10000,منوبة,36.711866,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,فصة شجرية,0,منوبة,36.7118661,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,سرول,73000,منوبة,36.7118662,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,كازورينا,0,منوبة,36.7118663,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,ليسيوم,40000,منوبة,36.7118664,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,خروب,1500,منوبة,36.7118665,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,ارقان,100,منوبة,36.7118666,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,توت,100,منوبة,36.7118667,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,كبار,500,منوبة,36.7118668,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,سنتلين,1200,منوبة,36.7118669,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,نخل,400,منوبة,36.711867,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,واشنطونيا,600,منوبة,36.7118671,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,فيكيس بنشي,0,منوبة,36.7118672,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,فيكيس نتدا,250,منوبة,36.7118673,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,الدوم,800,منوبة,36.7118674,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,فلفل اكحل كاذب,300,منوبة,36.7118675,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,ميليا,0,منوبة,36.7118676,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,هيبسكيس,450,منوبة,36.7118677,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,دفلة,1700,منوبة,36.7118678,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,pomme a caffre,400,منوبة,36.7118679,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,ورد,0,منوبة,36.711868,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,جستيسيا,800,منوبة,36.7118681,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,قزانيا,1200,منوبة,36.7118682,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,فيجل,600,منوبة,36.7118683,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,بيتسبروم,1800,منوبة,36.7118684,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,جرانيوم,1000,منوبة,36.7118685,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,عطرشاء,800,منوبة,36.7118686,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,مرتقوش,50,منوبة,36.7118687,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,فليو,50,منوبة,36.7118688,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,عنبر,25,منوبة,36.7118689,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,زعتر أروبي,3000,منوبة,36.711869,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,زعتر حر,300,منوبة,36.7118691,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,غياردية,300,منوبة,36.7118692,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,زعتر ملوك,20,منوبة,36.7118693,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,سنرار,800,منوبة,36.7118694,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,هنديات,0,منوبة,36.7118695,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,ديمورفوتيكا,1800,منوبة,36.7118696,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,بوقنفيلي,250,منوبة,36.7118697,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,طير النار,200,منوبة,36.7118698,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,الاكليل,2600,منوبة,36.7118699,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,لنتنا,900,منوبة,36.71187,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,الصوجا,0,منوبة,36.7118701,9.88226650000001,774,منوبة,mnouba
منبت  برج العامري,الخزامة,1500,منوبة,36.7118702,9.88226650000001,774,منوبة,mnouba
منبت الصادقية,الصنوبر الحلبي,10000,منوبة,36.8093284,10.0863269,774,منوبة,mnouba
منبت الصادقية,الكلتوس,2600,منوبة,36.8093285,10.0863269,774,منوبة,mnouba
منبت الصادقية,السنط الازرق,8000,منوبة,36.8093286,10.0863269,774,منوبة,mnouba
منبت الصادقية,فصة شجرية,2000,منوبة,36.8093287,10.0863269,774,منوبة,mnouba
منبت الصادقية,سرول,80000,منوبة,36.8093288,10.0863269,774,منوبة,mnouba
منبت الصادقية,كازورينا,10000,منوبة,36.8093289,10.0863269,774,منوبة,mnouba
منبت الصادقية,ليسيوم,12000,منوبة,36.809329,10.0863269,774,منوبة,mnouba
منبت الصادقية,خروب,500,منوبة,36.8093291,10.0863269,774,منوبة,mnouba
