delegation_ar,superficie_foret_ha,superficie_parcours_ameliores_ha,superficie_parcours_naturels_ha,superficie_sebkhas_ha,couverture_vegetale_ar,region_id,matched_region_ar,matched_region_fr
بوفيشة,3262,2565,910,0,عرعار،أكاسيا صنوبر، كالاتوس ،إكليل ،زعتر .....,319,بوفيشة,bouficha
النفيضة,2601,4774,6858,0,عرعار،أكاسيا صنوبر، كالاتوس ،إكليل ،زعتر،حماضة....,419,النفيضة,alnfida
كندار,105,510,4893,0,عرعار،أكاسيا صنوبر، كالاتوس،هندي أملس و حماضة,326,كندار,kndar
سيدي بوعلي,4,1689,0,0,أكاسيا ،خروب ،بروزوبيس ،قطف ،هندي وحماضة,861,سيدي بوعلي,sidi bouali
القلعة الكبرى,599,634,2500,0,كالاتوس ،صنوبر، بروزوبيس ،قطف ،هندي وحماضة,34,القلعة الكبرى,alqlaa alkbra
هرقلة,937,0,0,0,كالاتوس ،صنوبر،أكاسيا حماضة ...,269,هرقلة,hrqla
سيدي الهاني,69,1006,734,0,كالاتوس،هندي أملس ، بروزوبيس ،أكاسيا وحماضة,155,سيدي الهاني,sidi alhani
مساكن,98,0,0,0,كالاتوس وصنوبر,29,مساكن,msakn
حمام سوسة,8,0,0,0,كالاتوس وصنوبر,NA,NA,NA
أكودة(غابات والمنبت العصري بشط مريم),82,0,0,0,صنوبر،بندق وكالاتوس,NA,NA,NA
سيدي عبد الحميد (المنبت الغابي بسوسة),3,0,0,0,منبت,NA,NA,NA
القلعةالكبرى+كندار+سيدي الهاني( المحمية الطبيعية بسبخة الكلبية),0,0,0,8000,الطرفة،القصب ،المص و الحماضة,NA,NA,NA
