delegation,secteur,acquisition_des_geniteurs_ovins_nb,acquisition_des_geniteurs_caprins_nb,acquisition_des_geniteurs_bovins_nb,insemination_artificielle_nb,amenagement_des_petits_perimetres_irrigues_montagneux_ha,region_id,matched_region_ar,matched_region_fr
قبلاط,قرام,3,NA,NA,NA,NA,790,قبلاط,qblat
قبلاط,قمرتي,NA,NA,NA,NA,NA,790,قبلاط,qblat
قبلاط,بئر العش,1,NA,NA,NA,NA,790,قبلاط,qblat
قبلاط,شيخ الوديان,NA,NA,NA,NA,NA,790,قبلاط,qblat
قبلاط,خشاب,4,NA,NA,NA,NA,790,قبلاط,qblat
قبلاط,خنيقة الدهان,3,NA,NA,NA,NA,790,قبلاط,qblat
تستور,زلدو,3,NA,1,NA,NA,429,تستور,tstour
تستور,مزوغة,3,NA,2,NA,NA,429,تستور,tstour
عمدون,بني مالك,2,NA,NA,106,NA,824,عمدون,amdoun
عمدون,الفرايجية,2,2,NA,298,NA,824,عمدون,amdoun
عمدون,المجالس,3,NA,NA,170,NA,824,عمدون,amdoun
عمدون,الحمراء,2,2,NA,274,NA,824,عمدون,amdoun
عمدون,الجوزة,3,4,NA,403,NA,824,عمدون,amdoun
عمدون,غزية,NA,NA,NA,159,10,824,عمدون,amdoun
عمدون,زهرة مدين الجنوبيّة,2,NA,NA,15,NA,824,عمدون,amdoun
تيبار,دجبة,2,NA,NA,224,183,725,تيبار,tibar
تيبار,عين الدفالي,4,NA,5,441,63,725,تيبار,tibar
نفزة,فطناسة,2,NA,NA,100,NA,408,نفزة,nfza
نفزة,وادي المعدن,2,9,NA,226,NA,408,نفزة,nfza
نفزة,الجميلة,2,NA,NA,310,NA,408,نفزة,nfza
نفزة,الطبابة,NA,NA,NA,NA,NA,408,نفزة,nfza
نفزة,بوزنة,2,NA,NA,115,NA,408,نفزة,nfza
نفزة,زاقة,2,2,NA,178,NA,408,نفزة,nfza
نفزة,الظهيرات,2,NA,NA,150,NA,408,نفزة,nfza
نفزة,غياضة,2,NA,NA,100,NA,408,نفزة,nfza
نفزة,نفزة الشرقية,NA,NA,NA,NA,NA,408,نفزة,nfza
باجة الجنوبية,سيدي إسماعيل,7,1,NA,NA,NA,NA,NA,NA
باجة الجنوبية,المخشبية,12,NA,NA,148,NA,NA,NA,NA
باجة الجنوبية,مستوتة,5,1,NA,NA,NA,NA,NA,NA
تبرسق,ريحانة,4,NA,NA,308,NA,204,تبرسق,tbrsq
تبرسق,بئر التوتة,3,NA,NA,250,NA,204,تبرسق,tbrsq
تبرسق,عين مليتي,3,NA,NA,343,NA,204,تبرسق,tbrsq
تبرسق,عين الحمام,2,NA,NA,204,NA,204,تبرسق,tbrsq
مجاز الباب,توكابر,4,NA,NA,30,NA,49,مجاز الباب,mjaz albab
مجاز الباب,شواش,2,NA,NA,24,NA,49,مجاز الباب,mjaz albab
مجاز الباب,حيدوس,NA,NA,1,NA,NA,49,مجاز الباب,mjaz albab
