delegation,secteur,amenagement_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_amenagees,remise_a_niveau_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_reabilitees,amenagement_des_reseaux_d_adduction_d_eaux_potables_aep,nb_des_beneficiaires_des_reseaux_aep,nb_des_citernes_individuelles_creees,region_id,matched_region_ar,matched_region_fr
نبر,بهرة,0,0,16.4,300,0,0,0,794,نبر,nbr
نبر,الشتاتلة,0,0,4,150,0,0,1,794,نبر,nbr
نبر,تل الغزلان,0,0,3.5,170,0,0,0,794,نبر,nbr
نبر,سيدي مدين,0,0,0.8,100,المجاجربة,130,0,794,نبر,nbr
الطويرف,الطويرف,1.9,200,0,0,0,0,6,184,الطويرف,altouirf
الطويرف,ولجة السدرة,4.1,430,0,0,0,0,0,184,الطويرف,altouirf
الطويرف,الاذياب,9.9,400,0,0,0,0,6,184,الطويرف,altouirf
الطويرف,ملالة,5.7,400,0,0,0,0,6,184,الطويرف,altouirf
السرس,الاربص,0,0,4.5,150,0,0,0,562,السرس,alsrs
السرس,بوصليعة,5.4,380,0,0,جبل حلوفة,250,0,562,السرس,alsrs
الكاف الغربية,وادي الرمل الشمالي,0,0,6,340,0,0,0,NA,NA,NA
الكاف الغربية,وادي الرمل الجنوبي,7.15,390,0,0,0,0,0,NA,NA,NA
الكاف الشرقية,وادي السوني الجنوبي,0.8,300,7.5,230,كبوش,1500,0,NA,NA,NA
الكاف الشرقية,الزعفران,0,0,5.35,260,0,0,0,NA,NA,NA
الكاف الشرقية,وادي السوني الشمالي,6,150,16,410,0,0,0,NA,NA,NA
الساقية,عين الكرمة,0,0,1,350,0,0,0,428,السلوقية,alslouqia
الساقية,فرشان,0,0,6.5,230,سيدي الوحيشي,150,0,428,السلوقية,alslouqia
الساقية,جرادو,5.2,270,0,0,0,0,0,428,السلوقية,alslouqia
الساقية,سيدي رابح,0,0,10.1,380,0,0,1,428,السلوقية,alslouqia
