delegation,secteur,insemination_artificielle_2017_nb,insemination_artificielle_2018_nb,region_id,matched_region_ar,matched_region_fr
سجنان,المعالية,130,59,406,سجنان,sjnan
سجنان,سجنان,67,36,406,سجنان,sjnan
سجنان,المشارقة,108,38,406,سجنان,sjnan
سجنان,العبابسة,57,49,406,سجنان,sjnan
سجنان,السحابنة,97,46,406,سجنان,sjnan
سجنان,امادن,0,0,406,سجنان,sjnan
سجنان,سيدي مشرق,0,0,406,سجنان,sjnan
سجنان,الحشاشنة,0,0,406,سجنان,sjnan
غزالة,اولاد المي,0,12,386,غزالة,ghzala
غزالة,العرب,57,49,386,غزالة,ghzala
جومين,الطواجنية,101,83,413,جومين,joumin
جومين,بازينة,103,72,413,جومين,joumin
جومين,اولاد غانم,108,72,413,جومين,joumin
جومين,الشنانة,228,72,413,جومين,joumin
جومين,رواحة,96,72,413,جومين,joumin
