annees,delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,region_id,matched_region_ar,matched_region_fr
2018,تيبار,دجبة,0,0,12,52.85,725,تيبار,tibar
2018,تيبار,عين الدفالي,0,0,8,37.15,725,تيبار,tibar
2018,تبرسق,عين الحمام,0,0,0,16.25,204,تبرسق,tbrsq
2018,تبرسق,عين مليتي,0,0,23,47.35,204,تبرسق,tbrsq
2018,تبرسق,ريحانة,0,0,7,30.75,204,تبرسق,tbrsq
2018,تبرسق,بئر التوتة,0,0,10,10.65,204,تبرسق,tbrsq
2018,نفزة,زاقة,0,0,10,40.75,408,نفزة,nfza
2018,نفزة,الجميلة,0,0,10,19.75,408,نفزة,nfza
2018,نفزة,غياضة,0,0,10,16,408,نفزة,nfza
2018,نفزة,الطبابة,0,0,10,21,408,نفزة,nfza
2018,نفزة,واد المعدن,0,0,10,15,408,نفزة,nfza
2018,نفزة,بوزنة,0,0,10,23.5,408,نفزة,nfza
2018,نفزة,فطناسة,0,0,10,22.25,408,نفزة,nfza
2018,نفزة,الظهيرات,0,0,10,44.25,408,نفزة,nfza
2018,نفزة,نفزة الشرقية,0,0,0,18.5,408,نفزة,nfza
2018,باجة الجنوبيّة,مستوتة,0,0,10,25.6,NA,NA,NA
2018,باجة الجنوبيّة,سيدي إسماعيل,0,0,10,73.6,NA,NA,NA
2018,باجة الجنوبيّة,المخشبية,0,0,10,25.8,NA,NA,NA
2018,عمدون,زهرة مدين الجنوبيّة,0,0,10,21.4,824,عمدون,amdoun
2018,عمدون,المجالس,0,0,12,3.75,824,عمدون,amdoun
2018,عمدون,الفرايجية,0,0,10,0.5,824,عمدون,amdoun
2018,عمدون,الحمراء,0,0,5,19.4,824,عمدون,amdoun
2018,عمدون,الجوزة,0,0,11,3.75,824,عمدون,amdoun
2018,عمدون,غزية,0,0,10,2.8,824,عمدون,amdoun
2018,عمدون,بني مالك,0,0,12,7.4,824,عمدون,amdoun
2018,تستور,مزوغة,0,0,10,40.7,429,تستور,tstour
2018,تستور,زلدو,0,0,10,48.8,429,تستور,tstour
2018,مجاز الباب,توكابر,0,0,10,21.75,49,مجاز الباب,mjaz albab
2018,مجاز الباب,شواش,0,0,5,10.75,49,مجاز الباب,mjaz albab
2018,مجاز الباب,حيدوس,0,0,5,6.5,49,مجاز الباب,mjaz albab
2018,قبلاط,قمرتي,0,0,12,17.2,790,قبلاط,qblat
2018,قبلاط,بئر العش,0,0,8,46.4,790,قبلاط,qblat
2018,قبلاط,قرام,0,0,0,29.05,790,قبلاط,qblat
2018,قبلاط,شيخ الوديان,0,0,0,6,790,قبلاط,qblat
2018,قبلاط,خشاب,0,0,0,54.35,790,قبلاط,qblat
2018,قبلاط,خنيقة الدهان,0,0,0,24.5,790,قبلاط,qblat
2017,تيبار,دجبة,0,0,11,29.8,725,تيبار,tibar
2017,تيبار,عين الدفالي,0,0,9,35.2,725,تيبار,tibar
2017,تبرسق,عين الحمام,0,0,0,2.3,204,تبرسق,tbrsq
2017,تبرسق,عين مليتي,0,0,15,37.7,204,تبرسق,tbrsq
2017,تبرسق,ريحانة,0,0,0,30.5,204,تبرسق,tbrsq
2017,تبرسق,بئر التوتة,0,0,5,26.5,204,تبرسق,tbrsq
2017,نفزة,زاقة,0,0,13,0,408,نفزة,nfza
2017,نفزة,الجميلة,0,0,11,10,408,نفزة,nfza
2017,نفزة,غياضة,0,0,6.5,0,408,نفزة,nfza
2017,نفزة,الطبابة,0,0,6.5,0,408,نفزة,nfza
2017,نفزة,واد المعدن,0,0,6.5,3.5,408,نفزة,nfza
2017,نفزة,بوزنة,0,0,6.5,0,408,نفزة,nfza
2017,نفزة,فطناسة,0,0,0,3,408,نفزة,nfza
2017,نفزة,الظهيرات,0,10.15,10,0,408,نفزة,nfza
2017,نفزة,نفزة الشرقية,0,0,0,0,408,نفزة,nfza
2017,باجة الجنوبيّة,مستوتة,0,0,3,23.9,NA,NA,NA
2017,باجة الجنوبيّة,سيدي إسماعيل,0,0,7,37.8,NA,NA,NA
2017,باجة الجنوبيّة,المخشبية,0,0,5,28.8,NA,NA,NA
2017,عمدون,زهرة مدين الجنوبيّة,0,0,9,27.8,824,عمدون,amdoun
2017,عمدون,المجالس,0,0,9,4.5,824,عمدون,amdoun
2017,عمدون,الفرايجية,0,0,9,7.3,824,عمدون,amdoun
2017,عمدون,الحمراء,0,0,9,5.9,824,عمدون,amdoun
2017,عمدون,الجوزة,6.27,5.89,9,9.4,824,عمدون,amdoun
2017,عمدون,غزية,0,0,3,8.9,824,عمدون,amdoun
2017,عمدون,بني مالك,0,0,9,11.4,824,عمدون,amdoun
2017,تستور,مزوغة,0,0,12.5,15.5,429,تستور,tstour
2017,تستور,زلدو,0,0,7.5,54.5,429,تستور,tstour
2017,مجاز الباب,توكابر,2.69,11.43,11,39.6,49,مجاز الباب,mjaz albab
2017,مجاز الباب,شواش,5.39,12.71,4,20.4,49,مجاز الباب,mjaz albab
2017,مجاز الباب,حيدوس,0,10.27,5,2,49,مجاز الباب,mjaz albab
2017,قبلاط,قمرتي,0,0,5,19.8,790,قبلاط,qblat
2017,قبلاط,بئر العش,0,0,5,24.3,790,قبلاط,qblat
2017,قبلاط,قرام,0,0,0,11,790,قبلاط,qblat
2017,قبلاط,شيخ الوديان,0,0,0,3.2,790,قبلاط,qblat
2017,قبلاط,خشاب,0,0,0,38.7,790,قبلاط,qblat
2017,قبلاط,خنيقة الدهان,0,0,0,11,790,قبلاط,qblat
