annees,delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,amelioration_parcours_avec_sulla_ha,creation_de_prairies_permanentes_ha,agroforesterie_ha,region_id,matched_region_ar,matched_region_fr
2018,سجنان,المعالية,0,0,10,90,30,406,سجنان,sjnan
2018,سجنان,سجنان,0,0,17,0,31.5,406,سجنان,sjnan
2018,سجنان,المشارقة,0,0,0,0,34.75,406,سجنان,sjnan
2018,سجنان,العبابسة,0,5,0,0,5.5,406,سجنان,sjnan
2018,سجنان,السحابنة,0,10,12,0,45.25,406,سجنان,sjnan
2018,سجنان,امادن,0,0,0,0,62.75,406,سجنان,sjnan
2018,سجنان,سيدي مشرق,0,0,0,0,26.5,406,سجنان,sjnan
2018,سجنان,الحشاشنة,0,0,0,0,13.5,406,سجنان,sjnan
2018,غزالة,اولاد المي,0,10,16,0,25,386,غزالة,ghzala
2018,غزالة,العرب,0,15,16,0,25.25,386,غزالة,ghzala
2018,جومين,الطواجنية,0,15,16,0,19.25,413,جومين,joumin
2018,جومين,بازينة,0,5,14,0,29,413,جومين,joumin
2018,جومين,اولاد غانم,0,0,14,0,26.25,413,جومين,joumin
2018,جومين,الشنانة,0,10,14,0,32.25,413,جومين,joumin
2018,جومين,رواحة,0,10,14,0,25.25,413,جومين,joumin
2017,سجنان,المعالية,0,0,11.4,135,16.5,406,سجنان,sjnan
2017,سجنان,سجنان,0,0,6.6,0,13.5,406,سجنان,sjnan
2017,سجنان,المشارقة,0,0,6.4,0,16.5,406,سجنان,sjnan
2017,سجنان,العبابسة,0,0,3.2,0,11.5,406,سجنان,sjnan
2017,سجنان,السحابنة,0,0,20,0,16.5,406,سجنان,sjnan
2017,سجنان,امادن,0,0,0,0,13.5,406,سجنان,sjnan
2017,سجنان,سيدي مشرق,0,0,0,0,13.5,406,سجنان,sjnan
2017,سجنان,الحشاشنة,0,0,0,0,11.5,406,سجنان,sjnan
2017,غزالة,اولاد المي,0,0,0,0,17,386,غزالة,ghzala
2017,غزالة,العرب,0.7,5,0,0,17,386,غزالة,ghzala
2017,جومين,الطواجنية,3.6,9,28,0,24,413,جومين,joumin
2017,جومين,بازينة,0,0,18,0,18,413,جومين,joumin
2017,جومين,اولاد غانم,1.6,6.2,22.4,0,25,413,جومين,joumin
2017,جومين,الشنانة,5.6,10,24,0,18,413,جومين,joumin
2017,جومين,رواحة,0,0,20,0,18,413,جومين,joumin
