annees,delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,region_id,matched_region_ar,matched_region_fr
2018,عين دراهم,الخمايرية,0,9,29,68,137,عين دراهم,ain drahm
2018,عين دراهم,سلول,0,0,13,39.5,137,عين دراهم,ain drahm
2018,عين دراهم,تلقمة,0,0,10,29.5,137,عين دراهم,ain drahm
2018,عين دراهم,الحمران,0,0,20,7.4,137,عين دراهم,ain drahm
2018,عين دراهم,عين سلام,0,11.3,0,8.7,137,عين دراهم,ain drahm
2018,عين دراهم,وادي الزان,0,0,0,41.1,137,عين دراهم,ain drahm
2018,عين دراهم,الرويعي,0,0,47,75.3,137,عين دراهم,ain drahm
2018,فرنانة,وادي غريب,0,0,0,18.5,856,فرنانة,frnana
2018,فرنانة,ربيعة,0,0,0,0,856,فرنانة,frnana
2018,فرنانة,أولاد مفدة,0,0,20,15.7,856,فرنانة,frnana
2018,فرنانة,قلوب الثيران الجنوبية,0,0,10,22.1,856,فرنانة,frnana
2018,فرنانة,قلوب الثيران الشمالية,0,0,10,26.6,856,فرنانة,frnana
2018,فرنانة,هذيل,0,7.5,20,23.35,856,فرنانة,frnana
2018,فرنانة,العاذر,0,0,26,8.9,856,فرنانة,frnana
2018,فرنانة,الجواودة,0,0,9.5,9.9,856,فرنانة,frnana
2018,فرنانة,حليمة,0,0,20.5,13.3,856,فرنانة,frnana
2018,فرنانة,سيدي عمار,0,0,0,9.2,856,فرنانة,frnana
2018,غار الدماء,المعدن,0,0,7,20,51,غار الدماء,ghar aldma
2018,غار الدماء,عين سلطان,0,1.5,30,20,51,غار الدماء,ghar aldma
2018,غار الدماء,وشتاتة,0,0,10,24,51,غار الدماء,ghar aldma
2018,غار الدماء,الصرية,0,5,7,18,51,غار الدماء,ghar aldma
2018,غار الدماء,فركصان,0,0,20,21.2,51,غار الدماء,ghar aldma
2018,غار الدماء,فج حسين,0,0,31,24.2,51,غار الدماء,ghar aldma
2018,طبرقة,الحمام,0,0,19,8.05,576,طبرقة,tbrqa
2018,طبرقة,الناظور,0,7,29.5,12.3,576,طبرقة,tbrqa
2018,طبرقة,عين السنوسي,0,0,11.5,5.2,576,طبرقة,tbrqa
2017,عين دراهم,الخمايرية,0,0,0,23,137,عين دراهم,ain drahm
2017,عين دراهم,سلول,0,9,0,24,137,عين دراهم,ain drahm
2017,عين دراهم,تاقمة,0,0,0,7,137,عين دراهم,ain drahm
2017,عين دراهم,الحمران,10,11.5,0,11.9,137,عين دراهم,ain drahm
2017,عين دراهم,عين سلام,0,0,0,9.6,137,عين دراهم,ain drahm
2017,عين دراهم,وادي الزان,0,0,0,27.4,137,عين دراهم,ain drahm
2017,عين دراهم,الرويعي,0,0,0,12.4,137,عين دراهم,ain drahm
2017,فرنانة,وادي غريب,0,0,0,11,856,فرنانة,frnana
2017,فرنانة,ربيعة,0,0,0,1.3,856,فرنانة,frnana
2017,فرنانة,اولاد مفدة,0,0,0,10.05,856,فرنانة,frnana
2017,فرنانة,قلوب الثيران الجنوبية,5.75,13,0,26,856,فرنانة,frnana
2017,فرنانة,قلوب الثيران الشمالية,0,-,0,14.5,856,فرنانة,frnana
2017,فرنانة,هذيل,0,-,0,13.7,856,فرنانة,frnana
2017,فرنانة,العاذر,0,11.25,0,7,856,فرنانة,frnana
2017,فرنانة,الجواودة,0,-,0,7.5,856,فرنانة,frnana
2017,فرنانة,حليمة,0,9.25,0,16.05,856,فرنانة,frnana
2017,فرنانة,سيدي عمار,0,0,0,2,856,فرنانة,frnana
2017,غار الدماء,المعدن,0,0,0,11.5,51,غار الدماء,ghar aldma
2017,غار الدماء,عين سلطان,0,0,0,17.2,51,غار الدماء,ghar aldma
2017,غار الدماء,وشتاتة,0,0,0,15,51,غار الدماء,ghar aldma
2017,غار الدماء,الصرية,0,0,0,16,51,غار الدماء,ghar aldma
2017,غار الدماء,فركصان,0,0,0,15,51,غار الدماء,ghar aldma
2017,غار الدماء,فج حسين,0,0,0,17,51,غار الدماء,ghar aldma
2017,طبرقة,الحمام,0,0,0,19.5,576,طبرقة,tbrqa
2017,طبرقة,الناظور,0,0,0,8,576,طبرقة,tbrqa
2017,طبرقة,عين السنوسي,0,15.5,0,1.8,576,طبرقة,tbrqa
