annees,delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,region_id,matched_region_ar,matched_region_fr
2018,نبر,بهرة,0,10.85,20,91.3,794,نبر,nbr
2018,نبر,الشتاتلة,0,0,33.5,49.85,794,نبر,nbr
2018,نبر,تل الغزلان,0,9.83,12,35.5,794,نبر,nbr
2018,نبر,سيدي مدين,0,0,17,14.7,794,نبر,nbr
2018,الطويرف,الطويرف,0,7.31,8,36.05,184,الطويرف,altouirf
2018,الطويرف,ولجة السدرة,0,0,27,39.8,184,الطويرف,altouirf
2018,الطويرف,الاذياب,0,0,14.5,38.56,184,الطويرف,altouirf
2018,الطويرف,ملالة,0,8.65,20,29.1,184,الطويرف,altouirf
2018,الساقية,عين الكرمة,0,0,0,33.5,428,السلوقية,alslouqia
2018,الساقية,فرشان,0,0,20,110.65,428,السلوقية,alslouqia
2018,الساقية,جرادو,0,10.85,6,63.84,428,السلوقية,alslouqia
2018,الساقية,سيدي رابح,0,12.17,0,46.55,428,السلوقية,alslouqia
2018,الكاف الشرقية,وادي السوني الجنوبي,0,12.05,9,62.39,NA,NA,NA
2018,الكاف الشرقية,الزعفران,0,0,10,79.6,NA,NA,NA
2018,الكاف الشرقية,وادي السوني الشمالي,0,9.28,11,84.06,NA,NA,NA
2018,الكاف الغربية,وادي الرمل الشمالي,0,13.85,5,17.3,NA,NA,NA
2018,الكاف الغربية,وادي الرمل الجنوبي,0,0,7,114.82,NA,NA,NA
2018,السرس,السرس الشمالي,0,0,10,47.7,562,السرس,alsrs
2018,السرس,الاربص,0,0,20,58.2,562,السرس,alsrs
2018,السرس,بوصليعة,0,0,0,71.2,562,السرس,alsrs
2017,نبر,بهرة,0,0,20,51.48,794,نبر,nbr
2017,نبر,الشتاتلة,0,0,15.5,49.75,794,نبر,nbr
2017,نبر,تل الغزلان,0,0,10.5,0,794,نبر,nbr
2017,نبر,سيدي مدين,0,0,0,32.99,794,نبر,nbr
2017,الطويرف,الطويرف,12.88,0,10,43.75,184,الطويرف,altouirf
2017,الطويرف,ولجة السدرة,0,5,15,56.95,184,الطويرف,altouirf
2017,الطويرف,الاذياب,0,0,16,64.12,184,الطويرف,altouirf
2017,الطويرف,ملالة,0,0,18,35.76,184,الطويرف,altouirf
2017,الساقية,عين الكرمة,0,0,0,0,428,السلوقية,alslouqia
2017,الساقية,فرشان,0,0,15,115.65,428,السلوقية,alslouqia
2017,الساقية,جرادو,7.85,0,15,36.05,428,السلوقية,alslouqia
2017,الساقية,سيدي رابح,0,0,0,17.4,428,السلوقية,alslouqia
2017,الكاف الشرقية,وادي السوني الجنوبي,0,0,4,46.09,NA,NA,NA
2017,الكاف الشرقية,الزعفران,0,0,4,55.11,NA,NA,NA
2017,الكاف الشرقية,وادي السوني الشمالي,0,0,12,37.3,NA,NA,NA
2017,الكاف الغربية,وادي الرمل الشمالي,0,0,5,10.6,NA,NA,NA
2017,الكاف الغربية,وادي الرمل الجنوبي,0,5.5,5,81.1,NA,NA,NA
2017,السرس,السرس الشمالي,10.65,0,5,42.25,562,السرس,alsrs
2017,السرس,الاربص,5.81,15.6,28,45.25,562,السرس,alsrs
2017,السرس,بوصليعة,0,11.1,2,43.5,562,السرس,alsrs
