annees,delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,region_id,matched_region_ar,matched_region_fr
2018,الكريب,حمام بياضة الشمالية,0,0,0,38.5,427,الكريب,alkrib
2018,الكريب,حمام بياضة الجنوبية,0,12,19,89.9,427,الكريب,alkrib
2018,الكريب,برج المسعوي الغربية,0,0,10,50,427,الكريب,alkrib
2018,الكريب,برج المسعوي الشرقية,0,18,12,97.5,427,الكريب,alkrib
2018,الكريب,الكريب الشمالي,0,0,0,26.5,427,الكريب,alkrib
2018,الكريب,الكريب الجنوبي,0,5,0,24.5,427,الكريب,alkrib
2018,الكريب,الدخانية,0,10,12,22.5,427,الكريب,alkrib
2018,سيدي بورويس,العباسي,0,0,23,79.5,561,سيدي بورويس,sidi bourouis
2018,سيدي بورويس,عين عاشور,0,0,17,75.3,561,سيدي بورويس,sidi bourouis
2018,سيدي بورويس,التريشة,0,0,0,24.5,561,سيدي بورويس,sidi bourouis
2018,سليانة  الشمالية,الجوى,0,10,12,30.5,NA,NA,NA
2018,سليانة  الشمالية,جامة,0,6,11,100,NA,NA,NA
2018,سليانة  الشمالية,مصوج,0,6,24,22,NA,NA,NA
2018,سليانة  الشمالية,عين الديسة,0,0,4,28.5,NA,NA,NA
2018,سليانة  الشمالية,الخلصة,0,11,6,5.8,NA,NA,NA
2017,الكريب,حمام بياضة الشمالية,0,0,0,30.5,427,الكريب,alkrib
2017,الكريب,حمام بياضة الجنوبية,14.4,11,15,88.2,427,الكريب,alkrib
2017,الكريب,برج المسعوي الغربية,0,0,12,47.8,427,الكريب,alkrib
2017,الكريب,برج المسعوي الشرقية,0,0,14,59.3,427,الكريب,alkrib
2017,الكريب,الكريب الشمالي,0,0,1,17.3,427,الكريب,alkrib
2017,الكريب,الكريب الجنوبي,0,0,0,22.7,427,الكريب,alkrib
2017,الكريب,الدخانية,0,0,15,12.2,427,الكريب,alkrib
2017,سيدي بورويس,العباسي,0,0,15,18.5,561,سيدي بورويس,sidi bourouis
2017,سيدي بورويس,عين عاشور,0,11,12,46.4,561,سيدي بورويس,sidi bourouis
2017,سيدي بورويس,التريشة,0,0,3,28,561,سيدي بورويس,sidi bourouis
2017,سليانة  الشمالية,الجوى,0,0,11,35.7,NA,NA,NA
2017,سليانة  الشمالية,جامة,13.4,7,12,38.2,NA,NA,NA
2017,سليانة  الشمالية,مصوج,0,19,30,36.2,NA,NA,NA
2017,سليانة  الشمالية,عين الديسة,0,0,5,25.7,NA,NA,NA
2017,سليانة  الشمالية,الخلصة,0,0,5,7.9,NA,NA,NA
