delegation,secteur,amenagement_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_amenagees,remise_a_niveau_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_reabilitees,amenagement_des_reseaux_d_adduction_d_eaux_potables_aep,nb_des_beneficiaires_des_reseaux_aep,nb_des_citernes_individuelles_creees,region_id,matched_region_ar,matched_region_fr
الكريب,حمام بياضة الشمالية,4,75,10,420,0,0,0,427,الكريب,alkrib
الكريب,حمام بياضة الجنوبية,5.5,140,24,280,0,0,8,427,الكريب,alkrib
الكريب,برج المسعوي الغربية,5,220,10,270,الشتاتلة والجبالية وأولاد طالب,84,5,427,الكريب,alkrib
الكريب,برج المسعوي الشرقية,2.3,180,17,650,أولاد البكوش,18,6,427,الكريب,alkrib
الكريب,الكريب الشمالي,11,320,0,0,0,0,9,427,الكريب,alkrib
الكريب,الكريب الجنوبي,4.3,115,8.8,72,0,0,20,427,الكريب,alkrib
الكريب,الدخانية,3,82,1.8,32,0,0,4,427,الكريب,alkrib
سيدي بورويس,العباسي,1,40,16,514,0,0,4,561,سيدي بورويس,sidi bourouis
سيدي بورويس,عين عاشور,2,60,9.5,380,0,0,4,561,سيدي بورويس,sidi bourouis
سيدي بورويس,التريشة,0,0,6,202,0,0,1,561,سيدي بورويس,sidi bourouis
سليانة  الشمالية,الجوى,1.5,35,25,184,0,0,6,NA,NA,NA
سليانة  الشمالية,جامة,18,456,0,0,0,0,5,NA,NA,NA
سليانة  الشمالية,مصوج,7,318,3.5,187,0,0,4,NA,NA,NA
سليانة  الشمالية,عين الديسة,0.5,48,5,98,0,0,3,NA,NA,NA
سليانة  الشمالية,الخلصة,5.6,32,4,52,0,0,3,NA,NA,NA
