delegation,secteur,acquisition_des_geniteurs_ovins_nb,acquisition_des_geniteurs_caprins_nb,acquisition_des_geniteurs_bovins_nb,insemination_artificielle_nb,region_id,matched_region_ar,matched_region_fr
الكريب,حمام بياضة الشمالية,4,1,1,23,427,الكريب,alkrib
الكريب,حمام بياضة الجنوبية,14,4,1,856,427,الكريب,alkrib
الكريب,برج المسعوي الغربية,0,0,0,0,427,الكريب,alkrib
الكريب,برج المسعوي الشرقية,3,0,0,875,427,الكريب,alkrib
الكريب,الكريب الشمالي,4,0,0,201,427,الكريب,alkrib
الكريب,الكريب الجنوبي,4,2,1,70,427,الكريب,alkrib
الكريب,الدخانية,12,0,1,134,427,الكريب,alkrib
سيدي بورويس,العباسي,7,3,1,380,561,سيدي بورويس,sidi bourouis
سيدي بورويس,عين عاشور,2,0,1,0,561,سيدي بورويس,sidi bourouis
سيدي بورويس,التريشة,5,0,1,0,561,سيدي بورويس,sidi bourouis
سليانة  الشمالية,الجوى,22,0,2,0,NA,NA,NA
سليانة  الشمالية,جامة,16,0,1,0,NA,NA,NA
سليانة  الشمالية,مصوج,0,0,1,40,NA,NA,NA
سليانة  الشمالية,عين الديسة,2,0,0,0,NA,NA,NA
سليانة  الشمالية,الخلصة,0,0,0,0,NA,NA,NA
