annee,delegation,analyses_sol,etude_construction_maison,etude_vocation_terrain,etude_projets_agricoles,etude_octroi_subvention_fiscale,enregistrement_infractions,etude_autorisations_carrieres,operations_immobilieres,region_id,matched_region_ar,matched_region_fr
2024,صفاقس الجنوبية,7,5,115,2,5,10,1,1,1157,صوغاس الجنوبية,soughas aljnoubia
2024,صفاقس الغربية,0,0,10,0,0,0,0,2,134,صفاقس الغربية,sfaqs alghrbia
2024,صفاقس المدينة,0,0,0,0,0,0,0,4,123,صفاقس الجديدة,sfaqs aljdida
2024,ساقية الدائر,5,6,120,3,1,10,0,2,121,ساقية الدائر,saqia aldair
2024,ساقية الزيت,5,4,100,3,1,8,0,2,120,ساقية الزيت,saqia alzit
2024,قرقنة,1,125,35,1,0,2,0,5,NA,NA,NA
2024,العامرة,10,3,10,2,1,4,0,0,930,العامرة,alaamra
2024,جبنيانة,8,2,5,0,0,2,0,0,912,جبنيانة,jbniana
2024,الحنشة,50,3,10,1,2,5,0,0,499,الحنشة,alhncha
2024,منزل شاكر,65,4,25,4,20,8,0,0,94,منزل شاكر,mnzl chakr
2024,بئر علي بن خليفة,45,3,5,1,10,0,2,0,105,بئر علي بن خليفة,bir ali bn khlifa
2024,عقارب,40,5,15,2,13,5,0,0,935,عقارب,aqarb
2024,الصخيرة,35,10,20,3,5,5,0,0,159,الصخيرة,alskhira
2024,الغريبة,15,2,5,0,2,0,0,0,133,الغريبة,alghriba
2024,المحرس,40,5,15,1,4,5,0,2,102,المحرس,almhrs
2024,طينة,5,3,120,1,0,2,0,0,970,طينة,tina
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
