delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,cordon_en_pierres_seches_ha,cuvettes_pour_arboriculture_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,remembrement_des_terres_en_sec_ha,region_id,matched_region_ar,matched_region_fr
نبر,بهرة,0,121.62,7.5,172.9,258,458.46,1660,794,نبر,nbr
نبر,الشتاتلة,0,40.299999999999997,0,92.33,124,203.55,0,794,نبر,nbr
نبر,تل الغزلان,0,11 .53,0,68.86,174,512.94000000000005,0,794,نبر,nbr
نبر,سيدي مدين,0,94.55,0,NA,145,266.99,0,794,نبر,nbr
الطويرف,الطويرف,0,45.9,12.3,30.4,131,110.95,0,184,الطويرف,altouirf
الطويرف,ولجة السدرة,0,9.4,63.59,42.43,305,339.9,0,184,الطويرف,altouirf
الطويرف,الاذياب,0,63.27,0,55.16,157,486.95,0,184,الطويرف,altouirf
الطويرف,ملالة,0,37.08,0,56.51,180.5,254.53,1400,184,الطويرف,altouirf
الساقية,عين الكرمة,0,9.7200000000000006,0,0,0,208.93,0,428,السلوقية,alslouqia
الساقية,فرشان,0,36.729999999999997,0,45.46,411.1,646.89,0,428,السلوقية,alslouqia
الساقية,جرادو,0,50.35,41,0,72,323.02,0,428,السلوقية,alslouqia
الساقية,سيدي رابح,0,18.920000000000002,0,24,NA,375.25,0,428,السلوقية,alslouqia
الكاف الشرقية,وادي السوني الجنوبي,0,42.09,0,83.49,134,230.32,0,NA,NA,NA
الكاف الشرقية,الزعفران,0,11.5,0,32 .62,31,263.32,0,NA,NA,NA
الكاف الشرقية,وادي السوني الشمالي,0,83 .52,87.65,88.1,194.5,416.77,670,NA,NA,NA
الكاف الغربية,وادي الرمل الشمالي,0,54.03,24.43,35.43,55.5,192.94,0,NA,NA,NA
الكاف الغربية,وادي الرمل الجنوبي,0,42 .64,0,87.65,33,464 .83,0,NA,NA,NA
السرس,السرس الشمالي,10.65,10.63,0,47.07,128,183.26,0,562,السرس,alsrs
السرس,الاربص,0,20.75,0,34.25,116,107.75,0,562,السرس,alsrs
السرس,بوصليعة,0,58.48,0,90.4,43,291.55,0,562,السرس,alsrs
