delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,cordon_en_pierres_seches_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,remembrement_des_terres_en_sec_ha,region_id,matched_region_ar,matched_region_fr
عين دراهم,الخمايرية,0,33,0,199.2,160.62,244,137,عين دراهم,ain drahm
عين دراهم,سلول,0,22,0,37.5,38.38,0,137,عين دراهم,ain drahm
عين دراهم,تاقمة,11.5,51.2,0,133.6,58.21,50,137,عين دراهم,ain drahm
عين دراهم,الحمران,16,69.5,0,151.2,46.98,0,137,عين دراهم,ain drahm
عين دراهم,عين سلام,10,31.2,0,10,26.97,0,137,عين دراهم,ain drahm
عين دراهم,وادي الزان,0,12,0,26,26.97,0,137,عين دراهم,ain drahm
عين دراهم,الرويعي,0,42.4,0,115.85,52.63,100,137,عين دراهم,ain drahm
فرنانة,وادي غريب,0,10,0,56.75,113.74,120,856,فرنانة,frnana
فرنانة,ربيعة,2.7,23.3,0,27.5,41.89,0,856,فرنانة,frnana
فرنانة,اولاد مفدة,10,26.1,0,85,46.23,203,856,فرنانة,frnana
فرنانة,قلوب الثيران الجنوبية,0,22,0,46.75,34.4,500,856,فرنانة,frnana
فرنانة,قلوب الثيران الجنوبية,0,20,0,62,35.5,0,856,فرنانة,frnana
فرنانة,هذيل,0,32.4,0,183.2,152.99,0,856,فرنانة,frnana
فرنانة,العاذر,6.9,61.2,0,95.77,86.67,0,856,فرنانة,frnana
فرنانة,الجواودة,8.72,24.4,0,48,32.3,0,856,فرنانة,frnana
فرنانة,حليمة,35,89.3,0,131.45,70.18,186,856,فرنانة,frnana
فرنانة,سيدي عمار,0,70.1,0,85.95,87.49,0,856,فرنانة,frnana
غار الدماء,المعدن,15,73.9,9.7,105.25,81.68,0,51,غار الدماء,ghar aldma
غار الدماء,عين سلطان,0,30,0,76,46.87,0,51,غار الدماء,ghar aldma
غار الدماء,وشتاتة,29.8,60.1,0,80.5,77.22,0,51,غار الدماء,ghar aldma
غار الدماء,الصرية,74,123.52,0,78.05,119.59,0,51,غار الدماء,ghar aldma
غار الدماء,فركصان,0,27,0,85,52.81,0,51,غار الدماء,ghar aldma
غار الدماء,فج حسين,0,0,0,124.5,135.77,0,51,غار الدماء,ghar aldma
طبرقة,الحمام,0,33.2,0,147.88,106.52,0,576,طبرقة,tbrqa
طبرقة,الناظور,0,78.6,0,171.84,141.89,0,576,طبرقة,tbrqa
طبرقة,عين السنوسي,13.8,155.13,0,248.52,36.71,127,576,طبرقة,tbrqa
