delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,cuvettes_pour_arboriculture_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,remembrement_des_terres_en_sec_ha,region_id,matched_region_ar,matched_region_fr
الكريب,حمام بياضة الشمالية,0,30,48.9,39.25,127.5,900,427,الكريب,alkrib
الكريب,حمام بياضة الجنوبية,57.4,83.6,106.1,113.25,229.17,1000,427,الكريب,alkrib
الكريب,برج المسعوي الغربية,30,35.5,90.6,20.5,136.34,0,427,الكريب,alkrib
الكريب,برج المسعوي الشرقية,97.25,47,30,31.25,165.64,0,427,الكريب,alkrib
الكريب,الكريب الشمالي,24,81,0,17.75,48.8,0,427,الكريب,alkrib
الكريب,الكريب الجنوبي,40,92.53,10,34.5,70.4,0,427,الكريب,alkrib
الكريب,الدخانية,34,10,20,43,63.7,0,427,الكريب,alkrib
سيدي بورويس,العباسي,50.31,156.5,115.5,129,163.6,0,561,سيدي بورويس,sidi bourouis
سيدي بورويس,عين عاشور,97.09,128.05,180,60.5,219.43,0,561,سيدي بورويس,sidi bourouis
سيدي بورويس,التريشة,67,78,165.5,28.5,94.83,0,561,سيدي بورويس,sidi bourouis
سليانة  الشمالية,الجوى,147,119,247.5,122.5,154.6,540,NA,NA,NA
سليانة  الشمالية,جامة,162.6,136.5,155,131.25,246.68,0,NA,NA,NA
سليانة  الشمالية,مصوج,90,85.6,22.5,60.75,118.95,0,NA,NA,NA
سليانة  الشمالية,عين الديسة,99.5,63.1,20,32.25,75.8,0,NA,NA,NA
سليانة  الشمالية,الخلصة,90,59.6,20,37.25,37.4,0,NA,NA,NA
