delegation,secteur,amenagement_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_amenagees,remise_a_niveau_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_reabilitees,nb_des_citernes_individuelles_creees,nb_des_sources_deaux_amenagees,region_id,matched_region_ar,matched_region_fr
عين دراهم,الخمايرية,0,0,11.9,398,5,1,137,عين دراهم,ain drahm
عين دراهم,سلول,2,80,8.15,310,2,0,137,عين دراهم,ain drahm
عين دراهم,تاقمة,0,0,14.3,370,8,0,137,عين دراهم,ain drahm
عين دراهم,الحمران,6.9,70,7.3,305,3,0,137,عين دراهم,ain drahm
عين دراهم,عين سلام,0,0,2.2,185,2,0,137,عين دراهم,ain drahm
عين دراهم,وادي الزان,0,0,0,0,0,0,137,عين دراهم,ain drahm
عين دراهم,الرويعي,0,0,9.2,30,0,0,137,عين دراهم,ain drahm
فرنانة,وادي غريب,0,0,1.4,70,2,0,856,فرنانة,frnana
فرنانة,ربيعة,0,0,8.4,620,0,0,856,فرنانة,frnana
فرنانة,أولاد مفدة,0,0,0,0,2,0,856,فرنانة,frnana
فرنانة,قلوب الثيران الجنوبية,0,0,2.9,130,3,0,856,فرنانة,frnana
فرنانة,قلوب الثيران الشمالية,0,0,2,120,2,0,856,فرنانة,frnana
فرنانة,هذيل,9.2,150,0.6,70,4,0,856,فرنانة,frnana
فرنانة,العاذر,3.7,140,0,0,2,2,856,فرنانة,frnana
فرنانة,الجواودة,0,0,1.5,70,3,0,856,فرنانة,frnana
فرنانة,حليمة,0,0,27,340,5,1,856,فرنانة,frnana
فرنانة,سيديعمار,0,0,24.8,770,0,1,856,فرنانة,frnana
غار الدماء,المعدن,0,0,4,290,1,2,51,غار الدماء,ghar aldma
غار الدماء,عين سلطان,0,0,2.45,70,0,0,51,غار الدماء,ghar aldma
غار الدماء,وشتاتة,0,0,12.3,600,10,0,51,غار الدماء,ghar aldma
غار الدماء,الصرية,0,0,15.3,610,5,0,51,غار الدماء,ghar aldma
غار الدماء,فركصان,0,0,2,200,5,0,51,غار الدماء,ghar aldma
غار الدماء,فج حسين,3.8,80,0,0,15,0,51,غار الدماء,ghar aldma
طبرقة,الحمام,0,0,10.5,380,14,0,576,طبرقة,tbrqa
طبرقة,الناظور,0,0,16.9,605,9,1,576,طبرقة,tbrqa
طبرقة,عين السنوسي,0,0,17.98,480,6,1,576,طبرقة,tbrqa
