delegation,secteur,acquisition_des_geniteurs_ovins_nb,acquisition_des_geniteurs_caprins_nb,acquisition_des_geniteurs_bovins_nb,insemination_artificielle_nb,region_id,matched_region_ar,matched_region_fr
نبر,بهرة,15,20,4,1135,794,نبر,nbr
نبر,الشتاتلة,6,0,2,153,794,نبر,nbr
نبر,تل الغزلان,18,10,0,1552,794,نبر,nbr
نبر,سيدي مدين,6,13,1,731,794,نبر,nbr
الطويرف,الطويرف,5,1,0,69,184,الطويرف,altouirf
الطويرف,ولجة السدرة,3,4,1,237,184,الطويرف,altouirf
الطويرف,الاذياب,8,6,1,288,184,الطويرف,altouirf
الطويرف,ملالة,6,6,1,582,184,الطويرف,altouirf
الكاف الغربية,وادي الرمل الجنوبي,4,2,0,154,NA,NA,NA
الكاف الغربية,وادي الرمل الشمالي,2,1,0,0,NA,NA,NA
الكاف الشرقية,وادي السواني الشمالي,10,15,0,658,NA,NA,NA
الكاف الشرقية,وادي السواني الجنوبي,5,6,0,111,NA,NA,NA
الكاف الشرقية,الزعفران,3,2,0,356,NA,NA,NA
السرس,بوصليعة,2,4,0,113,562,السرس,alsrs
السرس,الاربص,1,0,0,0,562,السرس,alsrs
السرس,السرس الشمالي,14,0,0,111,562,السرس,alsrs
ساقية سيدي يوسف,جرادو,3,1,0,334,112,ساقية سيدي يوسف,saqia sidi iousf
ساقية سيدي يوسف,سيدي رابح,3,4,0,0,112,ساقية سيدي يوسف,saqia sidi iousf
ساقية سيدي يوسف,عين الكرمة,NA,2,0,0,112,ساقية سيدي يوسف,saqia sidi iousf
ساقية سيدي يوسف,فرشان,2,0,0,213,112,ساقية سيدي يوسف,saqia sidi iousf
