anne_programme,nom_fr,nom_ar,delegation,secteur,cap_init_m3,cap_sed_m3,sup_bv_ha,cout_paye_mille_dt,equip,objectif,financement,latitude_utm_m,longitude_utm_m,latitude_dd,longitude_dd,region_id,matched_region_ar,matched_region_fr
1988,Bir El Krouna,بير الكرونة,NEFZA,Jamila,35000,0,40,32000,Non,Protection,ODESYPANO,505967,4088589,36.941878531999997,9.066135869,NA,NA,NA
1988,Tabbouba,الطبوبة,NEFZA,Tebaba,30000,30000,NA,NA,Non,Protection,ODESYPANO,506409,4089238,"36,95200000","9,07200000",NA,NA,NA
1990,Sidi Mbarek,سيدي مبارك,BEJA NORD,El Munchar,96000,67000,187,87100,Oui,Exploitation,PN,528239,4062713,36.727300401999997,9.3245510920000001,526,سيدي بحر,sidi bhr
1991,O. El Ouaer,وادي الواعر,GOUBELLAT,Gammarti,67000,0,100,143900,non,Exploitation,PN,557642,4045836,36.554647821000003,9.6436748059999999,1182,وادي الغار,ouadi alghar
1991,O. El - Mourra,وادي المرة,GOUBELLAT,Grem,68000,41000,200,163700,non,Protection,PN,555090,4043824,36.535935721999998,9.6157812850000006,1328,وادي الرخام,ouadi alrkham
1992,Ain  Elharra,عين الحارة,BEJA SUD,Sidi Smail,160000,48000,165,218500,Oui,Protection,CEE,514526,4047333,36.570294945999997,9.1611193130000004,521,عين الرحمة,ain alrhma
1992,Dar Rouman,دار رومان,TESTOUR,Zeldou,40000,0,66,40000,Non,Protection,ODESYPANO,522230,4046601,36.563239955,9.2481612460000004,NA,NA,NA
1992,Dmina1,دمينة 1,BEJA SUD,Zouagha,8000,0,50,19300,Oui,Exploitation,CEE,509996,4058231,36.668228354,9.1112788630000008,NA,NA,NA
1992,Dmina2,دمينة 2,BEJA SUD,Zouagha,5000,0,30,17700,Oui,Exploitation,CEE,510296,4057709,36.662860504000001,9.1154113720000005,NA,NA,NA
1992,O. El Boul,وادي البول,BEJA NORD,El Munchar,125000,75000,110,176200,Oui,Exploitation,CEE,528175,4062911,36.708160890999999,9.3148305269999998,33,وادي الليل,ouadi allil
