delegation,secteur,acquisition_des_geniteurs_ovins_nb,acquisition_des_geniteurs_caprins_nb,acquisition_des_geniteurs_bovins_nb,insemination_artificielle_nb,amenagement_des_petits_perimetres_irrigues_montagneux_ha,region_id,matched_region_ar,matched_region_fr
عين دراهم,الخمايرية,5,5,1,286,NA,137,عين دراهم,ain drahm
عين دراهم,سلول,2,3,NA,159,NA,137,عين دراهم,ain drahm
عين دراهم,تاقمة,2,NA,NA,121,NA,137,عين دراهم,ain drahm
عين دراهم,الحمران,1,6,1,NA,NA,137,عين دراهم,ain drahm
عين دراهم,عين سلام,NA,3,NA,NA,NA,137,عين دراهم,ain drahm
عين دراهم,وادي الزان,NA,9,NA,NA,NA,137,عين دراهم,ain drahm
عين دراهم,الرويعي,NA,NA,NA,229,NA,137,عين دراهم,ain drahm
فرنانة,وادي غريب,2,NA,NA,203,NA,856,فرنانة,frnana
فرنانة,ربيعة,4,NA,NA,154,NA,856,فرنانة,frnana
فرنانة,قلوب الثيران الجنوبية,1,NA,NA,295,NA,856,فرنانة,frnana
فرنانة,قلوب الثيران الشمالية,2,NA,1,40,NA,856,فرنانة,frnana
فرنانة,هذيل,5,NA,1,161,NA,856,فرنانة,frnana
فرنانة,العاذر,4,1,1,32,20,856,فرنانة,frnana
فرنانة,الجواودة,NA,2,1,NA,NA,856,فرنانة,frnana
فرنانة,حليمة,8,NA,2,232,NA,856,فرنانة,frnana
فرنانة,سيدي عمار,4,NA,-,458,NA,856,فرنانة,frnana
غار الدماء,المعدن,2,9,1,398,NA,51,غار الدماء,ghar aldma
غار الدماء,عين سلطان,1,NA,NA,320,NA,51,غار الدماء,ghar aldma
غار الدماء,وشتاتة,NA,NA,NA,NA,10,51,غار الدماء,ghar aldma
غار الدماء,الصرية,NA,NA,2,137,NA,51,غار الدماء,ghar aldma
غار الدماء,فركصان,1,NA,NA,239,NA,51,غار الدماء,ghar aldma
غار الدماء,فج حسين,3,2,NA,NA,NA,51,غار الدماء,ghar aldma
طبرقة,الحمام,NA,5,NA,356,NA,576,طبرقة,tbrqa
طبرقة,الناظور,1,NA,NA,1029,108,576,طبرقة,tbrqa
طبرقة,عين السنوسي,6,4,2,715,NA,576,طبرقة,tbrqa
