delegation,moyenne_annuelle_mm,pluviometrie_enregistree_mm,pourcentage_percent,region_id,matched_region_ar,matched_region_fr
صفاقس المدينة,241.1,192,79.6,123,صفاقس الجديدة,sfaqs aljdida
عقارب,205,234,114.1,935,عقارب,aqarb
بئر علي,186.1,165,88.7,1528,بئر عمير,bir amir
المحرس,197.9,163,82.4,102,المحرس,almhrs
الغريبة,154.3,79,51.2,133,الغريبة,alghriba
الصخيرة,175,90.5,51.7,159,الصخيرة,alskhira
قرقنة (الرملة),243.8,53,21.5,NA,NA,NA
العامرة,215.6,265,123,930,العامرة,alaamra
منزل شاكر,193.5,215,111,94,منزل شاكر,mnzl chakr
جبناينة,232,318,137,912,جبنيانة,jbniana
الحنشة,278.7,189,103.7,499,الحنشة,alhncha
ساقية الزيت,213.7,169.5,79.3,120,ساقية الزيت,saqia alzit
ساقية الدائر,213.7,200,93.6,121,ساقية الدائر,saqia aldair
طينة,202.1,145.5,72,970,طينة,tina
صفاقس الجنوبية (المطار),241.1,171.1,71,NA,NA,NA
