almʿtmdyt,almʿdl_almrjʿy_mm,x2015_2016,x2016_2017,x2017_2018,x2018_2019,x2019_2020,x2020_2021,x2021_2022,region_id,matched_region_ar,matched_region_fr
المهدية,385.9,227.7,645.5,214.6,556.6,311.1,408.8,184.9,35,المهدية,almhdia
قصور الساف,313.2,187.6,534.6,157.5,580.9,277.1,459,210.7,158,قصور الساف,qsour alsaf
الشابة,306.5,154.8,390.7,273.7,323,320.5,523,222.5,106,الشابة,alchaba
ملولش,265.4,144,511.5,205,374,292.5,374.5,216.5,911,ملولش,mloulch
بومرداس,306.1,271.5,535,227,385,313.5,545,150.5,149,بو مرداس,bou mrdas
الجم,289.5,210.6,511.3,295,401,304,382.7,214,48,الجم,aljm
شربان,253.2,198,250.5,302,255,330,223.5,137.5,98,شُربان,chُrban
السواسي,245.2,262.9,395.5,342.5,338.5,254.1,420.5,132.5,215,السواسي,alsouasi
أولاد الشامخ,272.2,226.5,308,369,387,183,236.5,102,214,أولاد الشامخ,aoulad alchamkh
هبيرة,257.3,157,241,213.5,223.5,261.5,206,191,850,هبيرة,hbira
سيدي علوان,301.3,205.5,533.5,184,495.3,402.2,483.1,235.1,157,سيدي علوان,sidi alouan
المعدل (مم),290.5272727272727,204.1909090909091,441.55454545454546,253.0727272727273,392.70909090909095,295.4090909090909,387.50909090909096,181.56363636363633,NA,NA,NA
