annee,station,moyenne_mois,septembre,octobre,novembre,decembre,janvier,fevrier,mars,avril,mai,juin,juillet,aout,total,region_id,matched_region_ar,matched_region_fr
2020,باجة الشمالية,المعدل,38,66,68,98,105,83,64,54,31,15,4.2,7.8,634,NA,NA,NA
2020,Béja nord,الشهر,61.8,37.8,71,72.8,19.6,1,105.4,85.3,0.8,3.8,1,1,461.3,NA,NA,NA
2020,باجة الجنوبية,المعدل,35.8,35.5,54.4,70.3,76,59.8,39.3,45,28.8,16.3,4.7,11.6,477.50000000000006,NA,NA,NA
2020,Béja sud,الشهر,57,19.5,42.5,42,15,NA,58.6,52.5,NA,1.5,NA,3,291.6,NA,NA,NA
2020,عمدون,المعدل,36,66,92,101,94,75,83,51,26,8,4,4,640,824,عمدون,amdoun
2020,Amdoun,الشهر,55,32,90.5,62,45,NA,125,86,NA,NA,2,NA,497.5,824,عمدون,amdoun
2020,نفزة,المعدل,37,112,148,146,126,116,97,75,31,8.5,2.6,7,906.1,408,نفزة,nfza
2020,Nefza,الشهر,118,86,207,87.5,36,3,127,65,NA,3,4,NA,736.5,408,نفزة,nfza
2020,تبرسق,المعدل,37,63,60,72,75,63,65,59,33,22,7.1,12,568.1,204,تبرسق,tbrsq
2020,téboursouk,الشهر,114,25,34,39,14,6,73,77,NA,NA,2,NA,384,NA,NA,NA
2020,مجاز الباب,المعدل,41,52,43,48,52,57,44,35,23,14,3.9,8.9,421.79999999999995,49,مجاز الباب,mjaz albab
2020,Medjez,الشهر,41.5,11,25,38,18,5,71.5,59.5,NA,NA,0.5,3,273,NA,NA,NA
2020,تستور,المعدل,26,53,55,45,57,45,53,38,24,7,7,6,416,429,تستور,tstour
2020,Testour,الشهر,97.5,20,25,32.5,11,5,58,87.5,NA,NA,3,NA,339.5,429,تستور,tstour
2020,قبلاط,المعدل,24,56,47,41,51,45,50,32,24,8,5,3,386,790,قبلاط,qblat
2020,Goubellat,الشهر,64.5,21.5,22.5,53,10.5,10.2,69.7,70.5,NA,NA,NA,NA,322.4,NA,NA,NA
2020,تيبار,المعدل,37,53,63,93,86,74,68,56,40,29,5,7,611,725,تيبار,tibar
2020,Thibar,الشهر,59.5,45.5,55.5,54.5,19.5,1,84,72,NA,6,1,24,422.5,725,تيبار,tibar
2020,المجموع,الشهر,668.8,298.3,573,481.3,188.6,31.2,772.2,655.3,0.8,14.3,13.5,31,NA,NA,NA,NA
2021,باجة الشمالية,المعدل,38,66,68,98,105,83,64,54,31,15,4.2,7.8,634,NA,NA,NA
2021,Béja nord,الشهر,39,27.2,55.6,106.8,40.2,23.8,96.5,39.6,24.1,NA,NA,5.4,458.20000000000005,NA,NA,NA
2021,باجة الجنوبية,المعدل,35.8,35.5,54.4,70.3,76,59.8,39.3,45,28.8,16.3,4.7,11.6,477.50000000000006,NA,NA,NA
2021,Béja sud,الشهر,10.5,17,57.5,71,22,6.5,63,28,12.5,NA,NA,8,296,NA,NA,NA
2021,عمدون,المعدل,36,66,92,101,94,75,83,51,26,8,4,4,640,824,عمدون,amdoun
2021,Amdoun,الشهر,53,26,137,83,73,9,96.5,48,12,NA,NA,NA,537.5,824,عمدون,amdoun
2021,نفزة,المعدل,37,112,148,146,126,116,97,75,31,8.5,2.6,7,906.1,408,نفزة,nfza
2021,Nefza,الشهر,78,72,118.5,228,102,23,65,58,28,NA,NA,2,774.5,408,نفزة,nfza
2021,تبرسق,المعدل,37,63,60,72,75,63,65,59,33,22,7.1,12,568.1,204,تبرسق,tbrsq
2021,téboursouk,الشهر,31,17,115,113,69,46,80,76,35,NA,NA,NA,582,NA,NA,NA
2021,مجاز الباب,المعدل,41,52,43,48,52,57,44,35,23,14,3.9,8.9,421.79999999999995,49,مجاز الباب,mjaz albab
2021,Medjez,الشهر,20.5,15.5,73.5,84.5,21.5,11,67.5,38,13,NA,NA,NA,345,NA,NA,NA
2021,تستور,المعدل,26,53,55,45,57,45,53,38,24,7,7,6,416,429,تستور,tstour
2021,Testour,الشهر,35,13.5,90,71.5,25.5,10.5,51.5,33.5,17,NA,NA,NA,348,429,تستور,tstour
2021,قبلاط,المعدل,24,56,47,41,51,45,50,32,24,8,5,3,386,790,قبلاط,qblat
2021,Goubellat,الشهر,123,8.7,77.7,75.5,20.7,5.1,43.2,26,16.5,NA,NA,NA,396.4,NA,NA,NA
2021,تيبار,المعدل,37,53,63,93,86,74,68,56,40,29,5,7,611,725,تيبار,tibar
2021,Thibar,الشهر,15,26,107.5,112,39,20.5,87.5,48,27,NA,NA,14,496.5,725,تيبار,tibar
2021,المجموع,الشهر,405,222.89999999999998,832.3000000000001,945.3,412.9,155.4,650.7,395.1,185.1,0,0,29.4,NA,NA,NA,NA
2022,باجة الشمالية,المعدل,38,66,68,98,105,83,64,54,31,15,4.2,7.8,634,NA,NA,NA
2022,Béja nord,الشهر,24.1,127.3,49,122,107,14.2,69.4,22.4,25.8,NA,NA,NA,561.1999999999999,NA,NA,NA
2022,باجة الجنوبية,المعدل,35.8,35.5,54.5,70.3,76,59.8,39.3,45,28.8,16.3,4.7,11.6,477.6000000000001,NA,NA,NA
2022,Béja sud,الشهر,11,88.5,28.5,76,67.5,14.5,95.5,15.5,15.5,NA,NA,1,413.5,NA,NA,NA
2022,عمدون,المعدل,36,66,92,101,94,75,83,51,26,8,4,4,640,824,عمدون,amdoun
2022,Amdoun,الشهر,7.5,170,44,102,102,6,70.5,16.5,39,NA,NA,NA,557.5,824,عمدون,amdoun
2022,نفزة,المعدل,37,112,148,146,126,116,97,75,31,8.5,2.6,7,906.1,408,نفزة,nfza
2022,Nefza,الشهر,24,205.5,121,201,104,17,50,45,62,NA,NA,NA,829.5,408,نفزة,nfza
2022,تبرسق,المعدل,37,63,60,72,75,63,65,59,33,22,7.1,12,568.1,204,تبرسق,tbrsq
2022,téboursouk,الشهر,NA,102,37,106,113,27,139,19,24,NA,NA,6,573,NA,NA,NA
2022,مجاز الباب,المعدل,41,52,43,48,52,57,44,35,23,14,3.9,8.9,421.79999999999995,49,مجاز الباب,mjaz albab
2022,Medjez,الشهر,NA,89,21,86,44.5,13.5,119.5,15,44.5,NA,NA,NA,433,NA,NA,NA
2022,تستور,المعدل,26,53,55,45,57,45,53,38,24,7,7,6,416,429,تستور,tstour
