delegation,mois,cumul_mm,pluviometrie_du_mois_mm,region_id,matched_region_ar,matched_region_fr
monastir,sept_24,65,65,20,المنستير,monastir
sahline,sept_24,61,61,NA,NA,NA
ouardanine,sept_24,36,36,307,الوردانين,alourdanin
bembla,sept_24,77,77,NA,NA,NA
ksibet_medyouni,sept_24,58,58,NA,NA,NA
sayada,sept_24,89,89,NA,NA,NA
ksar_helal,sept_24,112,112,NA,NA,NA
moknine,sept_24,126,126,NA,NA,NA
teboulba,sept_24,103,103,138,طبلبة,tblba
bekalta,sept_24,125,125,NA,NA,NA
jemmel,sept_24,71,71,NA,NA,NA
zermedine,sept_24,110,110,258,زرمدين,zrmdin
beni_hassen,sept_24,149,149,256,بني حسان,bni hsan
monastir,oct_24,202,137,20,المنستير,monastir
sahline,oct_24,227,166,NA,NA,NA
ouardanine,oct_24,162,126,307,الوردانين,alourdanin
bembla,oct_24,185,108,NA,NA,NA
ksibet_medyouni,oct_24,209,151,NA,NA,NA
sayada,oct_24,307,218,NA,NA,NA
ksar_helal,oct_24,239,127,NA,NA,NA
moknine,oct_24,280,154,NA,NA,NA
teboulba,oct_24,245,142,138,طبلبة,tblba
bekalta,oct_24,291,166,NA,NA,NA
jemmel,oct_24,182,111,NA,NA,NA
zermedine,oct_24,239,129,258,زرمدين,zrmdin
beni_hassen,oct_24,310,161,256,بني حسان,bni hsan
monastir,nov_24,220,18,20,المنستير,monastir
sahline,nov_24,239,12,NA,NA,NA
ouardanine,nov_24,198,36,307,الوردانين,alourdanin
bembla,nov_24,188,3,NA,NA,NA
ksibet_medyouni,nov_24,231,22,NA,NA,NA
sayada,nov_24,322,15,NA,NA,NA
ksar_helal,nov_24,247,8,NA,NA,NA
moknine,nov_24,295,15,NA,NA,NA
teboulba,nov_24,262,17,138,طبلبة,tblba
bekalta,nov_24,337,46,NA,NA,NA
jemmel,nov_24,212,30,NA,NA,NA
zermedine,nov_24,251,12,258,زرمدين,zrmdin
beni_hassen,nov_24,360,50,256,بني حسان,bni hsan
monastir,dec_24,299,79,20,المنستير,monastir
sahline,dec_24,252,13,NA,NA,NA
ouardanine,dec_24,212,14,307,الوردانين,alourdanin
bembla,dec_24,279,91,NA,NA,NA
ksibet_medyouni,dec_24,283,52,NA,NA,NA
sayada,dec_24,406,84,NA,NA,NA
ksar_helal,dec_24,317,70,NA,NA,NA
moknine,dec_24,358,63,NA,NA,NA
teboulba,dec_24,348,86,138,طبلبة,tblba
bekalta,dec_24,440,103,NA,NA,NA
jemmel,dec_24,269,57,NA,NA,NA
zermedine,dec_24,275,24,258,زرمدين,zrmdin
beni_hassen,dec_24,401,41,256,بني حسان,bni hsan
monastir,jan_25,396,97,20,المنستير,monastir
sahline,jan_25,342,90,NA,NA,NA
ouardanine,jan_25,310,98,307,الوردانين,alourdanin
bembla,jan_25,373,94,NA,NA,NA
ksibet_medyouni,jan_25,384,101,NA,NA,NA
sayada,jan_25,517,111,NA,NA,NA
ksar_helal,jan_25,412,95,NA,NA,NA
moknine,jan_25,448,90,NA,NA,NA
teboulba,jan_25,467,119,138,طبلبة,tblba
bekalta,jan_25,591,151,NA,NA,NA
jemmel,jan_25,354,85,NA,NA,NA
zermedine,jan_25,369,94,258,زرمدين,zrmdin
beni_hassen,jan_25,480,79,256,بني حسان,bni hsan
monastir,fev_25,489,93,20,المنستير,monastir
sahline,fev_25,416,74,NA,NA,NA
ouardanine,fev_25,369,59,307,الوردانين,alourdanin
bembla,fev_25,450,77,NA,NA,NA
ksibet_medyouni,fev_25,461,77,NA,NA,NA
sayada,fev_25,624,107,NA,NA,NA
ksar_helal,fev_25,503,91,NA,NA,NA
moknine,fev_25,541,93,NA,NA,NA
teboulba,fev_25,542,75,138,طبلبة,tblba
bekalta,fev_25,654,63,NA,NA,NA
jemmel,fev_25,453,99,NA,NA,NA
zermedine,fev_25,458,89,258,زرمدين,zrmdin
beni_hassen,fev_25,544,64,256,بني حسان,bni hsan
monastir,mars_25,505,16,20,المنستير,monastir
sahline,mars_25,426,10,NA,NA,NA
ouardanine,mars_25,379,10,307,الوردانين,alourdanin
bembla,mars_25,461,11,NA,NA,NA
ksibet_medyouni,mars_25,476,15,NA,NA,NA
sayada,mars_25,651,27,NA,NA,NA
ksar_helal,mars_25,525,22,NA,NA,NA
moknine,mars_25,555,14,NA,NA,NA
teboulba,mars_25,560,18,138,طبلبة,tblba
bekalta,mars_25,667,13,NA,NA,NA
jemmel,mars_25,473,20,NA,NA,NA
zermedine,mars_25,474,16,258,زرمدين,zrmdin
beni_hassen,mars_25,559,15,256,بني حسان,bni hsan
monastir,avril_25,536,31,20,المنستير,monastir
sahline,avril_25,502,76,NA,NA,NA
ouardanine,avril_25,444,65,307,الوردانين,alourdanin
bembla,avril_25,524,63,NA,NA,NA
ksibet_medyouni,avril_25,512,36,NA,NA,NA
sayada,avril_25,706,55,NA,NA,NA
ksar_helal,avril_25,577,52,NA,NA,NA
moknine,avril_25,593,38,NA,NA,NA
teboulba,avril_25,605,45,138,طبلبة,tblba
bekalta,avril_25,685,18,NA,NA,NA
jemmel,avril_25,585,112,NA,NA,NA
zermedine,avril_25,552,78,258,زرمدين,zrmdin
beni_hassen,avril_25,626,67,256,بني حسان,bni hsan
monastir,mai_25,553,17,20,المنستير,monastir
sahline,mai_25,528,26,NA,NA,NA
ouardanine,mai_25,490,46,307,الوردانين,alourdanin
bembla,mai_25,551,27,NA,NA,NA
ksibet_medyouni,mai_25,538,26,NA,NA,NA
sayada,mai_25,733,27,NA,NA,NA
ksar_helal,mai_25,601,24,NA,NA,NA
moknine,mai_25,627,34,NA,NA,NA
teboulba,mai_25,630,25,138,طبلبة,tblba
bekalta,mai_25,712,27,NA,NA,NA
jemmel,mai_25,655,70,NA,NA,NA
zermedine,mai_25,577,25,258,زرمدين,zrmdin
beni_hassen,mai_25,655,29,256,بني حسان,bni hsan
monastir,juin_25,557,4,20,المنستير,monastir
sahline,juin_25,529,1,NA,NA,NA
ouardanine,juin_25,490,0,307,الوردانين,alourdanin
bembla,juin_25,551,0,NA,NA,NA
ksibet_medyouni,juin_25,538,0,NA,NA,NA
sayada,juin_25,733,0,NA,NA,NA
ksar_helal,juin_25,601,0,NA,NA,NA
moknine,juin_25,627,0,NA,NA,NA
teboulba,juin_25,630,0,138,طبلبة,tblba
bekalta,juin_25,712,0,NA,NA,NA
jemmel,juin_25,655,0,NA,NA,NA
zermedine,juin_25,577,0,258,زرمدين,zrmdin
beni_hassen,juin_25,655,0,256,بني حسان,bni hsan
monastir,jllet_25,557,0,20,المنستير,monastir
sahline,jllet_25,529,0,NA,NA,NA
ouardanine,jllet_25,490,0,307,الوردانين,alourdanin
bembla,jllet_25,551,0,NA,NA,NA
ksibet_medyouni,jllet_25,538,0,NA,NA,NA
sayada,jllet_25,733,0,NA,NA,NA
ksar_helal,jllet_25,601,0,NA,NA,NA
moknine,jllet_25,627,0,NA,NA,NA
teboulba,jllet_25,630,0,138,طبلبة,tblba
bekalta,jllet_25,712,0,NA,NA,NA
jemmel,jllet_25,655,0,NA,NA,NA
zermedine,jllet_25,577,0,258,زرمدين,zrmdin
beni_hassen,jllet_25,655,0,256,بني حسان,bni hsan
monastir,aout_25,557,0,20,المنستير,monastir
sahline,aout_25,529,0,NA,NA,NA
ouardanine,aout_25,490,0,307,الوردانين,alourdanin
bembla,aout_25,551,0,NA,NA,NA
ksibet_medyouni,aout_25,538,0,NA,NA,NA
sayada,aout_25,733,0,NA,NA,NA
ksar_helal,aout_25,601,0,NA,NA,NA
moknine,aout_25,627,0,NA,NA,NA
teboulba,aout_25,630,0,138,طبلبة,tblba
bekalta,aout_25,712,0,NA,NA,NA
jemmel,aout_25,655,0,NA,NA,NA
zermedine,aout_25,577,0,258,زرمدين,zrmdin
beni_hassen,aout_25,655,0,256,بني حسان,bni hsan
