station,cumul_2017_2018_mm,nbr_de_jour,moyenne_annuelle_mm,region_id,matched_region_ar,matched_region_fr
قفصة,203.8,39,185.1,16,قفصة,gafsa
السند,197.6,27,199.0,606,السند,alsnd
بلخير,155,11,123.6,745,بلخير,blkhir
الرديف,309.5,27,132.9,199,الرديف,alrdif
المتلوي,189,11,112.2,187,المتلوي,almtloui
القطار,99,5,132.1,602,القطار,alqtar
ام العرائس,287.4,22,139.7,596,أم العرائس,am alarais
المظيلة,170,17,107.5,600,المظيلة,almzila
سيدي عيش,157.7,33,211.9,793,سيدي عيش,sidi aich
سيدي بو بكر,162,26,173.7,1323,سيدي بوبكر,sidi boubkr
