fid,osm_id,code,fclass,name,french_name
1,27564968,1005,national_capital,تونس,Tunis
2,262722264,1002,town,مطماطة القديمة,mtmata alqdima
3,262727843,1003,village,الجرف,aljrf
4,264881676,1002,town,دوز,Douz
5,264885332,1002,town,تطاوين,Tataouine
6,264887592,1003,village,Ksar Ghilane,Ksar Ghilane
7,283645091,1002,town,حلق الوادي,La Goulette
8,286091511,1002,town,رادس,Radès
9,286354073,1002,town,فوشانة,Fouchana
10,287001619,1001,city,صفاقس,Sfax
11,287534172,1001,city,نابل,Nabeul
12,287543373,1001,city,سوسة,Sousse
13,287543904,1001,city,القيروان,Kairouan
14,287544603,1001,city,قابس,Gabès
15,287544816,1001,city,بنزرت,Bizerte
16,287545859,1001,city,قفصة,Gafsa
17,287547219,1002,town,المرسى,La Marsa
18,287547703,1001,city,القصرين,Kasserine
19,287550909,1001,city,بن عروس,Ben Arous
20,287553320,1001,city,المنستير,Monastir
21,287554239,1001,city,أريانة,ariana
22,287558790,1002,town,جرجيس,jrjis
23,287558953,1002,town,باردو,bardou
24,287559510,1002,town,حومة السوق,houma alsouq
25,287583296,1001,city,الحمامات,alhmamat
26,287585326,1002,town,مدنين,mdnin
27,287588734,1002,town,بن قردان,bn qrdan
28,287590041,1001,city,باجة,baja
29,287612727,1002,town,مساكن,msakn
30,287613682,1002,town,ميدون,midoun
31,287615073,1002,town,المكنين,almknin
32,287618126,1002,town,منزل بورقيبة,mnzl bourqiba
33,287619187,1002,town,وادي الليل,ouadi allil
34,287620228,1002,town,القلعة الكبرى,alqlaa alkbra
35,287621836,1001,city,المهدية,almhdia
36,287622372,1001,city,الكاف,alkaf
37,287625095,1002,town,جندوبة,jndouba
38,287625642,1001,city,قليبية,qlibia
39,288137819,1003,village,سيدي بوسعيد,sidi bousaid
40,297760994,1003,village,شنني,chnni
41,297761849,1003,village,قصر حدادة,qsr hdada
42,297764755,1002,town,أجيم,ajim
43,297765267,1002,town,الرياض,alriad
44,298018764,1002,town,نفطة,nfta
45,298018887,1002,town,توزر,touzr
46,298019989,1002,town,قبلي,qbli
47,298020344,1002,town,الحامة,alhama
48,299240195,1002,town,الجم,aljm
49,299265771,1002,town,مجاز الباب,mjaz albab
50,299266597,1003,village,وادي الزرقاء,ouadi alzrqa
51,299272084,1002,town,غار الدماء,ghar aldma
52,299277153,1002,town,ماطر,matr
53,305639389,1050,locality,Skerki Channel,Skerki Channel
54,312482164,1010,suburb,ياسمين الحمامات,iasmin alhmamat
55,312490313,1002,town,حمام الزريبة,hmam alzriba
56,315765407,1010,suburb,مركز شاكر,mrkz chakr
57,316078222,1003,village,الحاجب,alhajb
58,331201896,1004,hamlet,بشاطر,bchatr
59,332247375,1003,village,المروج 5,almrouj 5
60,349293657,1004,hamlet,خلف الله,khlf allh
61,349294959,1004,hamlet,العلامات,alalamat
62,349294962,1003,village,حسي عمر,hsi amr
63,349297566,1003,village,أم التمر,am altmr
64,349297567,1004,hamlet,علامة ملشوك,alama mlchouk
65,349299464,1003,village,تمزرط,tmzrt
66,349303620,1003,village,زعفران,zafran
67,349303622,1003,village,غيدمة,ghidma
68,349303785,1003,village,الصابرية,alsabria
69,351568938,1004,hamlet,قليبية,qlibia
70,351572764,1003,village,تلمين,tlmin
71,351572772,1003,village,طنبار,tnbar
72,351575544,1002,town,سوق الأحد,souq alahd
73,351581998,1004,hamlet,بوهلال,bouhlal
74,351582002,1003,village,المحاسن,almhasn
75,351582006,1003,village,سبع آبار,sba abar
76,351582010,1002,town,دقاش,dqach
77,352749777,1004,hamlet,Rahmat,Rahmat
78,352749778,1003,village,جمنة,jmna
79,352749779,1003,village,القلعة,alqlaa
80,352752191,1003,village,بني عيسى الجديدة,bni aisa aljdida
81,352752196,1004,hamlet,Douiouira,Douiouira
82,352752197,1002,town,مطماطة الجديدة,mtmata aljdida
83,352753427,1003,village,لفام,lfam
84,352753595,1004,hamlet,مغراوية,mghraouia
85,352839775,1002,town,مارث,marth
86,352839778,1004,hamlet,تماسنت,tmasnt
87,352841341,1003,village,مزران,mzran
88,352841357,1003,village,بازيم,bazim
89,352841361,1003,village,الحشان,alhchan
90,352845018,1004,hamlet,السويطير,alsouitir
91,411893392,1002,town,بئر الباي,bir albai
92,412906875,1010,suburb,مركز سحنون,mrkz shnoun
93,429661517,1010,suburb,مركز دمق,mrkz dmq
94,434547646,1003,village,منزل شاكر,mnzl chakr
95,434547660,1003,village,لسودة,lsouda
96,434547663,1003,village,فائض,faid
97,434547667,1003,village,السبالة,alsbala
98,434547727,1003,village,شُربان,chُrban
99,437592157,1002,town,سبيطلة,sbitla
100,442686289,1003,village,بوشبكة,bouchbka
101,443014003,1002,town,أم علي ⵓⵎ ⵄⵍⵉ,am ali ⵓⵎ ⵄⵍⵉ
102,443149064,1002,town,المحرس,almhrs
103,443149082,1003,village,الشفار,alchfar
104,443160003,1003,village,بولذياب,bouldhiab
105,443160013,1002,town,بئر علي بن خليفة,bir ali bn khlifa
106,443160117,1002,town,الشابة,alchaba
107,443160127,1003,village,سيدي منصور,sidi mnsour
108,443160128,1003,village,عين تركية,ain trkia
109,443479858,1050,locality,الشعبوني,alchabouni
110,443479891,1010,suburb,مركز دمق,mrkz dmq
111,462003373,1002,town,الحدادة ⵃⴻⴷⴷⴰⴷⴰ,alhdada ⵃⴻⴷⴷⴰⴷⴰ
112,462003374,1002,town,ساقية سيدي يوسف,saqia sidi iousf
113,469845572,1002,town,رأس الجبل,ras aljbl
114,470285468,1003,village,غار الملح,ghar almlh
115,471061641,1003,village,منزل عبد الرحمان,mnzl abd alrhman
116,475589445,1003,village,مليتة,mlita
117,475589717,1004,hamlet,سيدي فرج,sidi frj
118,475591250,1003,village,أولاد بو علي,aoulad bou ali
119,475591962,1003,village,أولاد عز الدين,aoulad az aldin
120,479938480,1002,town,ساقية الزيت,saqia alzit
121,479938481,1002,town,ساقية الدائر,saqia aldair
122,480422567,1020,island,شيكلي,chikli
123,494264588,1010,suburb,صفاقس الجديدة,sfaqs aljdida
124,494264724,1010,suburb,حي البحري,hi albhri
125,494264849,1010,suburb,حي الحبيب,hi alhbib
126,494264870,1010,suburb,حي النور,hi alnour
127,500182808,1003,village,البرمة,albrma
128,500268714,1004,hamlet,برج الخضراء,brj alkhdra
129,501803032,1002,town,قلعة سنان,qlaa snan
130,506035292,1010,suburb,مركز العلوي,mrkz alaloui
131,506035339,1050,locality,مركز بن حليمة,mrkz bn hlima
132,507972425,1040,region,بئر علي بن خليفة,bir ali bn khlifa
133,507972434,1040,region,الغريبة,alghriba
134,507972436,1041,county,صفاقس الغربية,sfaqs alghrbia
135,520156780,1003,village,الصغار,alsghar
136,520157034,1003,village,المرعنية,almrania
137,548180838,1002,town,عين دراهم,ain drahm
138,558814817,1003,village,طبلبة,tblba
139,558814858,1003,village,البقالطة,albqalta
140,558816730,1003,village,قصيبة المديوني,qsiba almdiouni
141,558816737,1003,village,لمطة,lmta
142,558816747,1003,village,خنيس,khnis
143,558816759,1003,village,صيادة,siada
144,558824767,1003,village,طوزة,touza
145,558826610,1003,village,البرجين,albrjin
146,558826611,1003,village,منزل كامل,mnzl kaml
147,558841086,1003,village,كركر,krkr
148,558841095,1003,village,الشوارعية,alchouaraia
149,558841112,1003,village,بو مرداس,bou mrdas
150,558841158,1003,village,أولاد دوادي,aoulad douadi
151,558841182,1003,village,السعد,alsad
152,558841228,1003,village,سيدي بنور,sidi bnour
153,558841242,1003,village,شيبة,chiba
154,558841302,1003,village,الدخيلة,aldkhila
155,558855437,1003,village,سيدي الهاني,sidi alhani
156,558855447,1003,village,غبغوب,ghbghoub
157,558962249,1003,village,سيدي علوان,sidi alouan
158,558962262,1002,town,قصور الساف,qsour alsaf
159,559394563,1003,village,الصخيرة,alskhira
160,559400353,1003,village,الموازير,almouazir
161,559400401,1003,village,المدو,almdou
162,559400484,1004,hamlet,العمارات,alamarat
